token_id,token
36828, Brazilian
41082, Portuguese
14600, Brazil
178499, brazilian
23613, Portugal
126144, brasil
23463, Brasil
68172, portug
30342, São
120313, brazil
201024, Recife
115090, Chilean
60453, Urugu
1839, por
81237, Oliveira
46683, brasile
70245, João
26100, soccer
3349, ou
204979,Brazilian
234776, Goiás
1092, em
91646, Colombian
9979, cities
191250, Antônio
227601,Portuguese
9097, pieces
1559, é
111101, Peruvian
133308, ব্রাজ
72902, Uruguay
131294, Carvalho
73865, reddish
77428, utensils
14361, Spanish
1032, other
71494,Brazil
20743, aluminum
170203, Brasília
79329,teste
506, the
195983, Gonçalves
21910, vapor
68868, quil
23400, aç
569, de
16045, purple
62456, soybean
27491, Chile
9507, characteristics
21296, classified
16062, vegetables
72449, Lisbon
184548, silverware
130786, Brésil
114253, Souza
532, and
148143, sugarcane
161924, vermel
59540, Guatemala
62457, Hispanic
52408, América
614, an
93716, itens
4106, areas
84065, Pereira
60063, engraved
79149, Brasile
71259, belongings
64192, cork
187798, engravings
138219, vegetal
35759, merchandise
16523, Portug
26135, Mexican
4596, related
20875, segments
23249, Rio
171909, Cunha
93899, yellowish
157649, cassava
34165, marijuana
3668, American
631, com
102100, Arqu
93199, Senhor
166433, Braga
1983, um
94095, Ferreira
4808, countries
122711, Santana
36723, Venezuela
118052, Lisboa
7070, yellow
106343, Mozambique
47102, aforementioned
205379, Jú
84624, spanish
929, que
203299, Ecuadorian
