token_id,token
1821, ع
1727, ل
3506, أ
3552, ك
744, ا
1100, ب
5178, ص
3256, من
3417, ق
4067, ان
2272, ر
3098, ح
2531, ش
4898, ط
1817, ن
3170, في
10697, أن
238091,ـ
5951, مع
2428, ه
237880,ُ
14037, مق
995, م
23440, تن
9399, غ
6625, إ
1656, س
27479, وأ
2927, الم
237143,أ
8030, وا
13292, ث
236743, 
12166, ذ
1819, ف
6833, الع
237108,،
9645, الف
13178, مت
39837, إن
17784, كل
1549, ت
3099, ي
10147, الق
11950, مس
920, ال
6817, ما
1483,ال
1212, و
22972, لم
1563, د
9202, عن
27760, وب
26269,ــ
21710, أو
6906, بال
19004, وس
13273, ض
5306, ز
20689, ات
11159, الش
236873,م
10516, او
8031, الح
11812, الب
22872, بل
9602, الن
237265,ث
15317, مر
2211, ج
27622, مص
236941,ع
5893, ،
138,  
5617, الت
236901,ب
11420, الك
4712, وال
17355, هذا
11885, تع
18322, ار
237480,إ
12611, ام
3268, خ
237005,ك
24989, تج
3492, آ
12849, هو
12638, الص
6191, بر
236872,ن
236761,.
4091, در
236894,ي
237508,َ
26251, وع
13232, تم
237963,ّ
236857,ل
16803, الإ
