token_id,token
19729, 在
44909, 如果
236743, 
13595, 一
20883, 不
10363, 的
4178, да
15881, 大
1333, на
49568, 这
7269, По
26918, 有
21063, 新
112527, 这个
86237, 我们
43472, 当
18937, 비
25547, 高
1994, не
12755, За
74012, 安
8796, На
128604, 该
62794, 要
30890, 全
18208, Не
3933, те
180662, 这是
37036, 前
201228, 为了
89022, 但是
32002, 是
212224, 然而
26595, 和
4214, 이
4455, THE
9420, 시
74937, 从
669, The
6991, У
1311, по
31214, 게
148509, 它
23490, 上
97553, 一个
75285, 洗
43758, 你
2042, за
59944, 为
43074, 美
26911, 我
15745, При
151050, 没有
15977, 구
4683, ви
5752, И
50111, 那
37638, 发
8014, ш
227637, 除了
16980, Про
10601, 한
207550, 这些
183556, 首
104449, 通过
17346, 中
23253, 人
20903, 알
21956, 小
36134, 用
74688, 清
8486, 가
3277, то
73847, 最
562, A
237070,不
43876, 正
2154, On
744, ا
26738, 에
24789, 더
30478, Как
21359, До
937, с
17855, То
51482, 何
14610, 거
4097, А
78878, 可以
76392, 再
1469, б
49633, 保
108623, 這
568, (
27132, 第
175766, 虽然
9522,如果
21445, 本
109198, 更
167496, 拉
