token_id,token
199570, RÉ
1559, é
161145,ÈRE
25727, équ
1608, à
99224,ÉS
192916,Caractéristiques
9848, É
32166, exemple
3990, ré
173392, exercice
215393,ÉRI
82091, Rés
54805, még
147768,ÉE
2789, «
13404, mé
126956,ÉR
13124, él
19638, fonction
11781, rés
40217,abilité
142078,ÉT
10244,érie
51588, États
195127,Références
17841,équ
237642,É
50162, vér
121908,Rés
233442,Résumé
52500, spéc
229524, GÉN
15300, qué
35369, lé
133453, alcool
27345, série
50822,Cette
136713, vélo
59613, esté
13934, déc
14940, sous
30041,éric
137743, évo
84037, Né
155996, définit
152458, Vér
23650,éro
11460,ré
24022, dés
130351, Fonction
52780,émie
2972, dé
17651,éral
70682, intégr
169118, Dél
157462, nuclé
8399, pré
82638, ressources
51980, éd
131367, Wikipédia
58480,énergie
1875,és
164530,éros
9334, és
66193, nº
26176,éf
64783, ké
92537, entraî
18036, ép
5009,ité
235935,Télé
27377," »,"
40680, notamment
79552, rép
32584, gé
178866, appelée
39577, présente
87707,État
15064, rég
8416, cette
54507, état
176325, Exemple
70617,Ré
30485, Dé
1640, les
128188, Faites
24476, év
94594, Él
15182,ités
118246, définition
117702,fiche
129930,Voici
129757, Télé
170279,vér
97402, Rég
106036, édition
48972, més
23132, lég
49760, lorsqu
