token_id,token
55310, Tanzania
9992, African
7959, Africa
27418, Kenya
236743, 
99490, Kenyan
4334, ya
77125, Zambia
74145, Africans
1927, view
62663, Mp
568, (
570, y
236761,.
110580, Malawi
528, in
69555, Rwanda
153539, Kenyans
520, m
16210, Nigeria
45578, Uganda
236772,-
69628, Nairobi
15602, Britain
4106, areas
108826, Mw
17950, Nd
529, of
69283,Africa
40241, african
236793,;
880, man
1548, number
77618, Afrika
46289, Mb
236764,","
28716, Ghana
549, g
1030, It
211969, Tanganyika
11586, Ng
510, p
172676,africa
587, M
41541, Zimbabwe
138,  
4559, national
503, s
517, f
531, to
1331, people
15045, mp
78840, yaw
735, have
870, [
136265, africa
620, k
1699, using
580, on
1456, used
20854, Ya
236762,y
618, as
93777, Afro
1262, data
66089,African
625, it
506, the
756, '
2433, area
895, Y
515, w
5079, Afric
974, get
3295, members
564, I
166759,Kenya
3211, products
11182, vehicles
573, for
699, from
518, b
4146, works
163744,Mw
184214, Mombasa
532, and
1386, make
637, r
235527, Serengeti
1006, am
545, e
236748,o
19661, mb
203768, Bantu
2803, special
3375, ng
27430, kwa
193277, Ugandan
2528, school
2506, got
