nshot_prompt,noshot_prompt,context,answer,completion_0,completion_intervention_0,correct_0,correct_intervention_0,completion_1,completion_intervention_1,correct_1,correct_intervention_1,completion_2,completion_intervention_2,correct_2,correct_intervention_2,completion_3,completion_intervention_3,correct_3,correct_intervention_3,completion_4,completion_intervention_4,correct_4,correct_intervention_4,completion_5,completion_intervention_5,correct_5,correct_intervention_5,completion_6,completion_intervention_6,correct_6,correct_intervention_6,completion_7,completion_intervention_7,correct_7,correct_intervention_7,completion_8,completion_intervention_8,correct_8,correct_intervention_8,completion_9,completion_intervention_9,correct_9,correct_intervention_9,completion_10,completion_intervention_10,correct_10,correct_intervention_10,completion_11,completion_intervention_11,correct_11,correct_intervention_11,completion_12,completion_intervention_12,correct_12,correct_intervention_12,completion_13,completion_intervention_13,correct_13,correct_intervention_13,completion_14,completion_intervention_14,correct_14,correct_intervention_14,completion_15,completion_intervention_15,correct_15,correct_intervention_15,completion_16,completion_intervention_16,correct_16,correct_intervention_16,completion_17,completion_intervention_17,correct_17,correct_intervention_17,completion_18,completion_intervention_18,correct_18,correct_intervention_18,completion_19,completion_intervention_19,correct_19,correct_intervention_19,completion_20,completion_intervention_20,correct_20,correct_intervention_20,completion_21,completion_intervention_21,correct_21,correct_intervention_21,completion_22,completion_intervention_22,correct_22,correct_intervention_22,completion_23,completion_intervention_23,correct_23,correct_intervention_23,completion_24,completion_intervention_24,correct_24,correct_intervention_24,completion_25,completion_intervention_25,correct_25,correct_intervention_25,completion_26,completion_intervention_26,correct_26,correct_intervention_26,completion_27,completion_intervention_27,correct_27,correct_intervention_27,completion_28,completion_intervention_28,correct_28,correct_intervention_28,completion_29,completion_intervention_29,correct_29,correct_intervention_29,completion_30,completion_intervention_30,correct_30,correct_intervention_30,completion_31,completion_intervention_31,correct_31,correct_intervention_31
"Q: separate
A: join

Q: strengthen
A: weaken

Q: solid
A: liquid

Q: fast
A: slow

Q: forward
A: backward

Q: east
A:","Q: east
A:","Q: separate
A: join

Q: strengthen
A: weaken

Q: solid
A: liquid

Q: fast
A: slow

Q: forward
A: backward

",west,east,: : :,False,False,east,: : :,False,False,east,1.,False,False,east,I think it,False,False,east,10,False,False,east,10,False,False,east,west,False,True,east,east,False,False,east,east,False,False,east,west,False,True,east,west,False,True,east,west,False,True,east,west,False,True,east,west,False,True,east,west,False,True,east,west,False,True,east,west,False,True,east,east,False,False,east,west,False,True,east,east,False,False,east,east,False,False,east,east,False,False,east,east,False,False,east,east,False,False,east,east,False,False,east,east,False,False,east,east,False,False,east,east,False,False,east,east,False,False,east,east,False,False,east,1.,False,False,east,10,False,False
"Q: young
A: old

Q: reward
A: punishment

Q: last
A: first

Q: native
A: foreign

Q: dangerous
A: safe

Q: ignorance
A:","Q: ignorance
A:","Q: young
A: old

Q: reward
A: punishment

Q: last
A: first

Q: native
A: foreign

Q: dangerous
A: safe

",knowledge,Ignorance,: : :,False,False,Ignorance,: : :,False,False,Ignorance,I'm,False,False,Ignorance,I don',False,False,Ignorance,I'm,False,False,Ignorance,I don',False,False,Ignorance,yes,False,False,Ignorance,ignorance,False,False,Ignorance,ignorance,False,False,Ignorance,ignorance,False,False,Ignorance,ignorance,False,False,Ignorance,ignorance,False,False,Ignorance,ignorance,False,False,Ignorance,ignorance,False,False,Ignorance,ignorance,False,False,Ignorance,ignorance,False,False,Ignorance,ignorance,False,False,Ignorance,ignorance,False,False,Ignorance,ignorance,False,False,Ignorance,I think that,False,False,Ignorance,I think that,False,False,Ignorance,I think that,False,False,Ignorance,ignorance,False,False,Ignorance,ignorance,False,False,Ignorance,ignorance,False,False,Ignorance,ignorance,False,False,Ignorance,ignorance,False,False,Ignorance,ignorance,False,False,Ignorance,ignorance,False,False,Ignorance,I think that,False,False,Ignorance,I think that,False,False,Ignorance,(noun,False,False
"Q: compulsory
A: voluntary

Q: arrive
A: depart

Q: freeze
A: melt

Q: natural
A: artificial

Q: profit
A: loss

Q: minor
A:","Q: minor
A:","Q: compulsory
A: voluntary

Q: arrive
A: depart

Q: freeze
A: melt

Q: natural
A: artificial

Q: profit
A: loss

",major,The minor in,: : :,False,False,The minor in,minor,False,False,The minor in,1.,False,False,The minor in,10,False,False,The minor in,10,False,False,The minor in,minor,False,False,The minor in,minor,False,False,The minor in,minor,False,False,The minor in,minor,False,False,The minor in,minor,False,False,The minor in,minor,False,False,The minor in,minor,False,False,The minor in,minor,False,False,The minor in,minor,False,False,The minor in,minor,False,False,The minor in,I'm,False,False,The minor in,The first thing,False,False,The minor in,The most common,False,False,The minor in,The most common,False,False,The minor in,The most common,False,False,The minor in,minor,False,False,The minor in,I think it,False,False,The minor in,I think it,False,False,The minor in,minor,False,False,The minor in,I think it,False,False,The minor in,The minor in,False,False,The minor in,The minor in,False,False,The minor in,The minor in,False,False,The minor in,The minor in,False,False,The minor in,minor,False,False,The minor in,The minor in,False,False,The minor in,1.,False,False
"Q: unite
A: divide

Q: shameful
A: glorious

Q: under
A: over

Q: bottom
A: top

Q: peace
A: war

Q: destroy
A:","Q: destroy
A:","Q: unite
A: divide

Q: shameful
A: glorious

Q: under
A: over

Q: bottom
A: top

Q: peace
A: war

",create,destroy,10,False,False,destroy,10,False,False,destroy,I'm,False,False,destroy,10,False,False,destroy,destroy,False,False,destroy,destroy,False,False,destroy,destroy,False,False,destroy,destroy,False,False,destroy,destroy,False,False,destroy,destroy,False,False,destroy,destroy,False,False,destroy,destroy,False,False,destroy,destroy,False,False,destroy,destroy,False,False,destroy,destroy,False,False,destroy,destroy,False,False,destroy,destroy,False,False,destroy,destroy,False,False,destroy,destroy,False,False,destroy,destroy,False,False,destroy,destroy,False,False,destroy,destroy,False,False,destroy,destroy,False,False,destroy,destroy,False,False,destroy,destroy,False,False,destroy,destroy,False,False,destroy,destroy,False,False,destroy,destroy,False,False,destroy,destroy,False,False,destroy,destroy,False,False,destroy,I'm,False,False,destroy,1.,False,False
"Q: innocent
A: guilty

Q: right
A: wrong

Q: reveal
A: conceal

Q: rough
A: smooth

Q: modern
A: ancient

Q: short
A:","Q: short
A:","Q: innocent
A: guilty

Q: right
A: wrong

Q: reveal
A: conceal

Q: rough
A: smooth

Q: modern
A: ancient

",tall,short,short,False,False,short,short,False,False,short,short,False,False,short,short,False,False,short,short,False,False,short,short,False,False,short,short,False,False,short,short,False,False,short,short,False,False,short,short,False,False,short,short,False,False,short,short,False,False,short,long,False,False,short,short,False,False,short,short,False,False,short,short,False,False,short,short,False,False,short,short,False,False,short,short,False,False,short,short,False,False,short,short,False,False,short,short,False,False,short,short,False,False,short,short,False,False,short,short,False,False,short,short,False,False,short,short,False,False,short,short,False,False,short,short,False,False,short,short,False,False,short,short,False,False,short,1.,False,False
"Q: senior
A: junior

Q: remove
A: introduce

Q: lenient
A: strict

Q: rich
A: poor

Q: irregular
A: regular

Q: lose
A:","Q: lose
A:","Q: senior
A: junior

Q: remove
A: introduce

Q: lenient
A: strict

Q: rich
A: poor

Q: irregular
A: regular

",win,lose,: : :,False,False,lose,: : :,False,False,lose,I'm,False,False,lose,10,False,False,lose,lose,False,False,lose,lose,False,False,lose,lose,False,False,lose,lose,False,False,lose,lose,False,False,lose,lose,False,False,lose,lose,False,False,lose,lose,False,False,lose,lose,False,False,lose,lose,False,False,lose,lose,False,False,lose,lose,False,False,lose,lose,False,False,lose,lose,False,False,lose,lose,False,False,lose,lose,False,False,lose,lose,False,False,lose,lose,False,False,lose,lose,False,False,lose,lose,False,False,lose,lose,False,False,lose,lose,False,False,lose,lose,False,False,lose,lose,False,False,lose,lose,False,False,lose,lose,False,False,lose,lose,False,False,lose,1.,False,False
"Q: finish
A: start

Q: cool
A: warm

Q: humble
A: arrogant

Q: noisy
A: quiet

Q: learn
A: teach

Q: urban
A:","Q: urban
A:","Q: finish
A: start

Q: cool
A: warm

Q: humble
A: arrogant

Q: noisy
A: quiet

Q: learn
A: teach

",rural,urban,1.,False,False,urban,urban,False,False,urban,urban,False,False,urban,urban,False,False,urban,urban,False,False,urban,urban,False,False,urban,urban,False,False,urban,urban,False,False,urban,urban,False,False,urban,urban,False,False,urban,urban,False,False,urban,urban,False,False,urban,rural,False,True,urban,urban,False,False,urban,urban,False,False,urban,urban,False,False,urban,urban,False,False,urban,urban,False,False,urban,urban,False,False,urban,urban,False,False,urban,urban,False,False,urban,urban,False,False,urban,urban,False,False,urban,urban,False,False,urban,urban,False,False,urban,urban,False,False,urban,urban,False,False,urban,urban,False,False,urban,urban,False,False,urban,urban,False,False,urban,urban,False,False,urban,1.,False,False
"Q: positive
A: negative

Q: down
A: up

Q: calm
A: anxious

Q: empty
A: full

Q: love
A: hate

Q: permanent
A:","Q: permanent
A:","Q: positive
A: negative

Q: down
A: up

Q: calm
A: anxious

Q: empty
A: full

Q: love
A: hate

",temporary,Permanent,10,False,False,Permanent,permanent,False,False,Permanent,permanent,False,False,Permanent,permanent,False,False,Permanent,permanent,False,False,Permanent,permanent,False,False,Permanent,permanent,False,False,Permanent,permanent,False,False,Permanent,permanent,False,False,Permanent,permanent,False,False,Permanent,permanent,False,False,Permanent,permanent,False,False,Permanent,permanent,False,False,Permanent,permanent,False,False,Permanent,permanent,False,False,Permanent,permanent,False,False,Permanent,permanent,False,False,Permanent,permanent,False,False,Permanent,"yes, but",False,False,Permanent,"The word """,False,False,Permanent,permanent,False,False,Permanent,permanent,False,False,Permanent,permanent,False,False,Permanent,permanent,False,False,Permanent,permanent,False,False,Permanent,permanent,False,False,Permanent,Permanent,False,False,Permanent,Permanent,False,False,Permanent,Permanent,False,False,Permanent,permanent,False,False,Permanent,permanent,False,False,Permanent,1.,False,False
"Q: death
A: birth

Q: lend
A: borrow

Q: close
A: distant

Q: soft
A: hard

Q: awake
A: asleep

Q: deficiency
A:","Q: deficiency
A:","Q: death
A: birth

Q: lend
A: borrow

Q: close
A: distant

Q: soft
A: hard

Q: awake
A: asleep

",quality,The defic,:::::,False,False,The defic,: : :,False,False,The defic,: : :,False,False,The defic,10,False,False,The defic,deficiency,False,False,The defic,10,False,False,The defic,10,False,False,The defic,deficiency,False,False,The defic,deficiency,False,False,The defic,deficiency,False,False,The defic,deficiency,False,False,The defic,deficiency,False,False,The defic,deficiency,False,False,The defic,deficiency,False,False,The defic,deficiency,False,False,The defic,I'm,False,False,The defic,The most common,False,False,The defic,The most common,False,False,The defic,The most common,False,False,The defic,The most common,False,False,The defic,The most common,False,False,The defic,The most common,False,False,The defic,deficiency,False,False,The defic,Deficiency,False,False,The defic,deficiency,False,False,The defic,Deficiency,False,False,The defic,The defic,False,False,The defic,The defic,False,False,The defic,The defic,False,False,The defic,The defic,False,False,The defic,A defic,False,False,The defic,1.,False,False
"Q: failure
A: success

Q: defeat
A: victory

Q: success
A: failure

Q: compliment
A: insult

Q: pessimist
A: optimist

Q: under
A:","Q: under
A:","Q: failure
A: success

Q: defeat
A: victory

Q: success
A: failure

Q: compliment
A: insult

Q: pessimist
A: optimist

",over,under,under,False,False,under,under,False,False,under,under,False,False,under,under,False,False,under,under,False,False,under,under,False,False,under,under,False,False,under,under,False,False,under,under,False,False,under,under,False,False,under,under,False,False,under,over,False,True,under,over,False,True,under,over,False,True,under,under,False,False,under,under,False,False,under,under,False,False,under,under,False,False,under,under,False,False,under,under,False,False,under,under,False,False,under,under,False,False,under,under,False,False,under,under,False,False,under,under,False,False,under,under,False,False,under,under,False,False,under,under,False,False,under,under,False,False,under,under,False,False,under,under,False,False,under,1.,False,False
