nshot_prompt,noshot_prompt,context,answer,completion_0,completion_intervention_0,correct_0,correct_intervention_0,completion_1,completion_intervention_1,correct_1,correct_intervention_1,completion_2,completion_intervention_2,correct_2,correct_intervention_2,completion_3,completion_intervention_3,correct_3,correct_intervention_3,completion_4,completion_intervention_4,correct_4,correct_intervention_4,completion_5,completion_intervention_5,correct_5,correct_intervention_5,completion_6,completion_intervention_6,correct_6,correct_intervention_6,completion_7,completion_intervention_7,correct_7,correct_intervention_7,completion_8,completion_intervention_8,correct_8,correct_intervention_8,completion_9,completion_intervention_9,correct_9,correct_intervention_9,completion_10,completion_intervention_10,correct_10,correct_intervention_10,completion_11,completion_intervention_11,correct_11,correct_intervention_11,completion_12,completion_intervention_12,correct_12,correct_intervention_12,completion_13,completion_intervention_13,correct_13,correct_intervention_13,completion_14,completion_intervention_14,correct_14,correct_intervention_14,completion_15,completion_intervention_15,correct_15,correct_intervention_15,completion_16,completion_intervention_16,correct_16,correct_intervention_16,completion_17,completion_intervention_17,correct_17,correct_intervention_17,completion_18,completion_intervention_18,correct_18,correct_intervention_18,completion_19,completion_intervention_19,correct_19,correct_intervention_19,completion_20,completion_intervention_20,correct_20,correct_intervention_20,completion_21,completion_intervention_21,correct_21,correct_intervention_21,completion_22,completion_intervention_22,correct_22,correct_intervention_22,completion_23,completion_intervention_23,correct_23,correct_intervention_23,completion_24,completion_intervention_24,correct_24,correct_intervention_24,completion_25,completion_intervention_25,correct_25,correct_intervention_25,completion_26,completion_intervention_26,correct_26,correct_intervention_26,completion_27,completion_intervention_27,correct_27,correct_intervention_27,completion_28,completion_intervention_28,correct_28,correct_intervention_28,completion_29,completion_intervention_29,correct_29,correct_intervention_29,completion_30,completion_intervention_30,correct_30,correct_intervention_30,completion_31,completion_intervention_31,correct_31,correct_intervention_31
"Q: tragic
A: comic

Q: opaque
A: transparent

Q: fore
A: aft

Q: back
A: face

Q: real
A: fictitious

Q: dock
A:","Q: dock
A:","Q: tragic
A: comic

Q: opaque
A: transparent

Q: fore
A: aft

Q: back
A: face

Q: real
A: fictitious

",ship,The dock is,dock,False,False,The dock is,10,False,False,The dock is,I'm,False,False,The dock is,I’m,False,False,The dock is,1.,False,False,The dock is,10,False,False,The dock is,dock,False,False,The dock is,dock,False,False,The dock is,dock,False,False,The dock is,dock,False,False,The dock is,dock,False,False,The dock is,dock,False,False,The dock is,dock,False,False,The dock is,dock,False,False,The dock is,dock,False,False,The dock is,"The word """,False,False,The dock is,"The word """,False,False,The dock is,The dock is,False,False,The dock is,The dock is,False,False,The dock is,The dock is,False,False,The dock is,The dock is,False,False,The dock is,The dock is,False,False,The dock is,The dock is,False,False,The dock is,The dock is,False,False,The dock is,dock,False,False,The dock is,The dock is,False,False,The dock is,The dock is,False,False,The dock is,The dock is,False,False,The dock is,The dock is,False,False,The dock is,The dock is,False,False,The dock is,The dock is,False,False,The dock is,1.,False,False
"Q: reversible
A: irreversible

Q: concentration
A: distribution

Q: criminal
A: law-abiding citizen

Q: similar
A: contrary

Q: universal
A: specific

Q: rest
A:","Q: rest
A:","Q: reversible
A: irreversible

Q: concentration
A: distribution

Q: criminal
A: law-abiding citizen

Q: similar
A: contrary

Q: universal
A: specific

",work,rest,10,False,False,rest,10,False,False,rest,1.,False,False,rest,10,False,False,rest,10,False,False,rest,10,False,False,rest,rest,False,False,rest,rest,False,False,rest,rest,False,False,rest,rest,False,False,rest,rest,False,False,rest,rest,False,False,rest,rest,False,False,rest,rest,False,False,rest,rest,False,False,rest,rest,False,False,rest,rest,False,False,rest,rest,False,False,rest,rest,False,False,rest,rest,False,False,rest,rest,False,False,rest,rest,False,False,rest,rest,False,False,rest,rest,False,False,rest,rest,False,False,rest,rest,False,False,rest,rest,False,False,rest,rest,False,False,rest,rest,False,False,rest,rest,False,False,rest,rest,False,False,rest,1.,False,False
"Q: support
A: oppose

Q: mad
A: sane

Q: outgoing
A: shy

Q: contraction
A: expansion

Q: divergence
A: convergence

Q: real
A:","Q: real
A:","Q: support
A: oppose

Q: mad
A: sane

Q: outgoing
A: shy

Q: contraction
A: expansion

Q: divergence
A: convergence

",virtual,real,real,False,False,real,real,False,False,real,real,False,False,real,real,False,False,real,real,False,False,real,real,False,False,real,real,False,False,real,real,False,False,real,real,False,False,real,real,False,False,real,real,False,False,real,real,False,False,real,real,False,False,real,real,False,False,real,real,False,False,real,real,False,False,real,real,False,False,real,real,False,False,real,real,False,False,real,real,False,False,real,real,False,False,real,real,False,False,real,real,False,False,real,real,False,False,real,real,False,False,real,real,False,False,real,real,False,False,real,real,False,False,real,real,False,False,real,real,False,False,real,real,False,False,real,1.,False,False
"Q: east
A: west

Q: connect
A: disconnect

Q: soften
A: harden

Q: slender
A: plump

Q: disregard
A: consider

Q: defence
A:","Q: defence
A:","Q: east
A: west

Q: connect
A: disconnect

Q: soften
A: harden

Q: slender
A: plump

Q: disregard
A: consider

",attack,The defence is,1.,False,False,The defence is,defence,False,False,The defence is,I think it,False,False,The defence is,I think it,False,False,The defence is,I think it,False,False,The defence is,defence,False,False,The defence is,defence,False,False,The defence is,defence,False,False,The defence is,defence,False,False,The defence is,defence,False,False,The defence is,defence,False,False,The defence is,defence,False,False,The defence is,defence,False,False,The defence is,defence,False,False,The defence is,defence,False,False,The defence is,defence,False,False,The defence is,The defender,False,False,The defence is,The defender,False,False,The defence is,The defendant,False,False,The defence is,The defender,False,False,The defence is,The defender,False,False,The defence is,The defender,False,False,The defence is,The defender,False,False,The defence is,The defence is,False,False,The defence is,The defence is,False,False,The defence is,The defence is,False,False,The defence is,The defence is,False,False,The defence is,The defence is,False,False,The defence is,The defence is,False,False,The defence is,The defence is,False,False,The defence is,The defence is,False,False,The defence is,1.,False,False
"Q: informal
A: formal

Q: tax
A: subsidy

Q: front
A: back

Q: enemy
A: friend

Q: clear
A: ambiguous

Q: tender
A:","Q: tender
A:","Q: informal
A: formal

Q: tax
A: subsidy

Q: front
A: back

Q: enemy
A: friend

Q: clear
A: ambiguous

",tough,The tender is,: : :,False,False,The tender is,: : :,False,False,The tender is,I'm,False,False,The tender is,I’m,False,False,The tender is,I’m,False,False,The tender is,I think it,False,False,The tender is,10,False,False,The tender is,tender,False,False,The tender is,tender,False,False,The tender is,tender,False,False,The tender is,tender,False,False,The tender is,tender,False,False,The tender is,tender,False,False,The tender is,tender,False,False,The tender is,tender,False,False,The tender is,I’m,False,False,The tender is,"The word """,False,False,The tender is,"The word """,False,False,The tender is,"The word """,False,False,The tender is,"The word """,False,False,The tender is,"The word """,False,False,The tender is,The word “,False,False,The tender is,"The word """,False,False,The tender is,Tender is,False,False,The tender is,The tender is,False,False,The tender is,The tender is,False,False,The tender is,Tender is,False,False,The tender is,Tender is,False,False,The tender is,Tender is,False,False,The tender is,Tender is,False,False,The tender is,Tender is,False,False,The tender is,1.,False,False
"Q: oust
A: install

Q: aggravate
A: relieve

Q: settle
A: arise

Q: alive
A: extinct

Q: more
A: less

Q: simple
A:","Q: simple
A:","Q: oust
A: install

Q: aggravate
A: relieve

Q: settle
A: arise

Q: alive
A: extinct

Q: more
A: less

",challenging,The simplest answer,simple,False,False,The simplest answer,simple,False,False,The simplest answer,I'm,False,False,The simplest answer,I’m,False,False,The simplest answer,10,False,False,The simplest answer,1,False,False,The simplest answer,simple,False,False,The simplest answer,simple,False,False,The simplest answer,simple,False,False,The simplest answer,simple,False,False,The simplest answer,simple,False,False,The simplest answer,simple,False,False,The simplest answer,simple,False,False,The simplest answer,simple,False,False,The simplest answer,simple,False,False,The simplest answer,simple,False,False,The simplest answer,simple,False,False,The simplest answer,simple,False,False,The simplest answer,simple,False,False,The simplest answer,simple,False,False,The simplest answer,simple,False,False,The simplest answer,simple,False,False,The simplest answer,simple,False,False,The simplest answer,simple,False,False,The simplest answer,simple,False,False,The simplest answer,simple,False,False,The simplest answer,simple,False,False,The simplest answer,simple,False,False,The simplest answer,simple,False,False,The simplest answer,simple,False,False,The simplest answer,simple,False,False,The simplest answer,1.,False,False
"Q: surrender
A: resist

Q: rise
A: fall

Q: rewarding
A: penal

Q: dark
A: light

Q: non-volcanic
A: volcanic

Q: tomorrow
A:","Q: tomorrow
A:","Q: surrender
A: resist

Q: rise
A: fall

Q: rewarding
A: penal

Q: dark
A: light

Q: non-volcanic
A: volcanic

",yesterday,tomorrow,: : :,False,False,tomorrow,: : :,False,False,tomorrow,: : :,False,False,tomorrow,:,False,False,tomorrow,"yes, I",False,False,tomorrow,tomorrow,False,False,tomorrow,yes,False,False,tomorrow,tomorrow,False,False,tomorrow,tomorrow,False,False,tomorrow,tomorrow,False,False,tomorrow,tomorrow,False,False,tomorrow,tomorrow,False,False,tomorrow,tomorrow,False,False,tomorrow,tomorrow,False,False,tomorrow,tomorrow,False,False,tomorrow,tomorrow,False,False,tomorrow,tomorrow,False,False,tomorrow,tomorrow,False,False,tomorrow,tomorrow,False,False,tomorrow,tomorrow,False,False,tomorrow,tomorrow,False,False,tomorrow,tomorrow,False,False,tomorrow,tomorrow,False,False,tomorrow,tomorrow,False,False,tomorrow,tomorrow,False,False,tomorrow,tomorrow,False,False,tomorrow,tomorrow,False,False,tomorrow,tomorrow,False,False,tomorrow,tomorrow,False,False,tomorrow,tomorrow,False,False,tomorrow,tomorrow,False,False,tomorrow,明日,False,False
"Q: unequal
A: equal

Q: appearance
A: disappearance

Q: active
A: standby

Q: revolution
A: status quo

Q: nothing
A: everything

Q: release
A:","Q: release
A:","Q: unequal
A: equal

Q: appearance
A: disappearance

Q: active
A: standby

Q: revolution
A: status quo

Q: nothing
A: everything

",stick,The release is,: : :,False,False,The release is,: : :,False,False,The release is,10,False,False,The release is,10,False,False,The release is,1.,False,False,The release is,1.,False,False,The release is,1.,False,False,The release is,release,False,False,The release is,release,False,False,The release is,release,False,False,The release is,release,False,False,The release is,release,False,False,The release is,release,False,False,The release is,release,False,False,The release is,release,False,False,The release is,release,False,False,The release is,release,False,False,The release is,release,False,False,The release is,The release is,False,False,The release is,The release is,False,False,The release is,The release is,False,False,The release is,release,False,False,The release is,The release is,False,False,The release is,The release is,False,False,The release is,release,False,False,The release is,The release is,False,False,The release is,The release is,False,False,The release is,The release is,False,False,The release is,The release is,False,False,The release is,The release is,False,False,The release is,The release is,False,False,The release is,1.,False,False
"Q: liberal
A: conservative

Q: undertake
A: abandon

Q: antagonist
A: protagonist

Q: destination
A: source

Q: final
A: initial

Q: loss
A:","Q: loss
A:","Q: liberal
A: conservative

Q: undertake
A: abandon

Q: antagonist
A: protagonist

Q: destination
A: source

Q: final
A: initial

",gain,Loss is,: : :,False,False,Loss is,10,False,False,Loss is,10,False,False,Loss is,loss,False,False,Loss is,loss,False,False,Loss is,loss,False,False,Loss is,loss,False,False,Loss is,loss,False,False,Loss is,loss,False,False,Loss is,loss,False,False,Loss is,loss,False,False,Loss is,loss,False,False,Loss is,loss,False,False,Loss is,loss,False,False,Loss is,loss,False,False,Loss is,loss,False,False,Loss is,loss,False,False,Loss is,loss,False,False,Loss is,loss,False,False,Loss is,The loss is,False,False,Loss is,loss,False,False,Loss is,loss,False,False,Loss is,loss,False,False,Loss is,loss,False,False,Loss is,loss,False,False,Loss is,loss,False,False,Loss is,loss,False,False,Loss is,loss,False,False,Loss is,loss,False,False,Loss is,loss,False,False,Loss is,loss,False,False,Loss is,1.,False,False
"Q: ignore
A: acknowledge

Q: valley
A: mountain

Q: scatter
A: gather

Q: predatory
A: preyful

Q: mixed
A: pure

Q: conceptual
A:","Q: conceptual
A:","Q: ignore
A: acknowledge

Q: valley
A: mountain

Q: scatter
A: gather

Q: predatory
A: preyful

Q: mixed
A: pure

",procedural,The conceptual,1.,False,False,The conceptual,conceptual,False,False,The conceptual,conceptual,False,False,The conceptual,conceptual,False,False,The conceptual,conceptual,False,False,The conceptual,conceptual,False,False,The conceptual,conceptual,False,False,The conceptual,conceptual,False,False,The conceptual,conceptual,False,False,The conceptual,conceptual,False,False,The conceptual,conceptual,False,False,The conceptual,conceptual,False,False,The conceptual,conceptual,False,False,The conceptual,conceptual,False,False,The conceptual,conceptual,False,False,The conceptual,conceptual,False,False,The conceptual,conceptual,False,False,The conceptual,I think it,False,False,The conceptual,I think it,False,False,The conceptual,I think it,False,False,The conceptual,conceptual,False,False,The conceptual,conceptual,False,False,The conceptual,conceptual,False,False,The conceptual,conceptual,False,False,The conceptual,conceptual,False,False,The conceptual,conceptual,False,False,The conceptual,conceptual,False,False,The conceptual,conceptual,False,False,The conceptual,conceptual,False,False,The conceptual,Conceptual,False,False,The conceptual,The conceptual,False,False,The conceptual,I think it,False,False
