prompt,reference,generation_baseline,generation_function_vector,bleu_baseline,bleu_function_vector,chrf_baseline,chrf_function_vector
"Q: Pittman suggested that conditions wouldn't improve until sometime next week.
A:",ピットマン氏は、来週になるまで状況は改善しないだろうと示唆した。, ピットマンは、来週のどこかの時点で状況が改善されるだろうと提案した。, Pittman sugirió que las condiciones no mejorarían hasta la próxima semana.,8.513012360883549,0.0,23.200555928948237,0.0
"Q: Each of these nomadic rampages or marches lasts for approximately 17 days.
A:",こうした遊牧段階での暴挙や進撃は、約17日間ずつ続きます。, これらの遊牧民の略奪や遠征は、おおよそ17日間続く。, Each of these nomadic rampages or marches lasts for approximately 17 days.,7.568151121820013,0.0,10.790821457337426,1.2086162055397276
"Q: The different constructions have different capabilities, are sensitive to different wave-lengths and have differing degrees of acuity, also they require different processing to make sense of the input and different numbers to work optimally.
A:",構造が異なれば機能も異なり、感じ取る波長が異なり、視力の程度も異なります。また、それらの構造には入力信号を理解するためのさまざまな処理や機能に応じた個数が必要になります。, 異なる構造は異なる能力を持ち、異なる波長に敏感であり、異なる程度のアキュティを持ち、また、入力の意味を理解するために異なる処理を必要とし、最適に機能するために異なる数が必要です。<eos>, True,3.128131110780681,0.0,16.120778054256643,0.0
"Q: The typhoon is estimated to be moving toward China at eleven kph.
A:",台風は時速11 kmの速さで中国に向かって進んでいると見られています。, 台風は時速11キロで中国に向かって移動していると推定されている。, 台风估计以每小时11公里的速度向中国移动。,36.51986812152091,4.833168038496933,33.18317184814729,4.579553003286484
"Q: Massa is due to be out for at least the rest of the 2009 season.
A:",マッサは少なくとも2009年の残りのシーズンは欠場することになっている。, マッサは少なくとも2009年の残りのシーズンは欠場する予定です。, Massa is due to be out for at least the rest of the 2009 season.,77.4403141014203,0.0,64.56758392616156,3.7820315763751347
"Q: One of strong points of Charlotte, North Carolina, is that it has an abundance of high-quality options for families.
A:",ノースカロライナ州シャーロットの魅力は、家族向けの択肢が豊富に揃っていてその質が高いことです。," Charlotte, North Carolina の強みの一つは、家族にとって質の高い選択肢が豊富にあることです。"," One of strong points of Charlotte, North Carolina, is that it has an abundance of high-quality options for families.",5.106434041270721,0.0,16.889787672798676,0.0
"Q: This makes inexpensive zoom lenses hard to use in low-light conditions without a flash.
A:",そのため、安価なズームレンズはフラッシュを使わないと低照度の状態では使いづらくなります。, これは、フラッシュを使わずに低照度条件で安価なズームレンズを使用することを困難にします。, The zoom lens has a variable aperture.,26.773534472711965,0.0,30.116383157668302,0.0
"Q: Traditionally, the heir to the throne would go straight into the military after finishing school.
A:",伝統的に、王位継承者は学校卒業後にそのまま軍に入ります。, 皇位継承者は、学校を卒業すると、伝統的に軍隊に入って行きました。," Traditionally, the heir to the throne would go straight into the military after finishing school.",17.5376708746474,0.0,19.961896242536064,0.0
"Q: A cell is the smallest structural and functional unit of a living (things) organism.
A:",細胞とは生物の構造的機能的な最小単位です。, 細胞は生き物の最小の構造的および機能的単位です。, A cell is the smallest structural and functional unit of a living (things) organism.,19.765441873349207,0.0,29.070683481256065,0.0
"Q: Lead researchers say this may bring early detection of cancer, tuberculosis, HIV and malaria to patients in low-income countries, where the survival rates for illnesses such as breast cancer can be half those of richer countries.
A:",主任研究者は、これは低所得国における患者の癌、結核、HIV、マラリアの早期発見につながる可能性があると述べます。こうした国では、乳がんなどの病気の生存率が豊かな国の半分になることもあるとされます。, 調査チームは、乳がんなどの病気で、裕福な国よりも生存率が半分になるような低所得国で、がん、結核、HIV、マラリアの早期発見をもたらすかもしれないと述べている。<eos>," Lead researchers say this may bring early detection of cancer, tuberculosis, HIV and malaria to patients in low-income countries, where the survival rates for illnesses such as breast cancer can be half those of richer countries.",34.485883495918344,0.0,29.06850094684866,0.7355670870614874
