prompt,query,reference,generation_function_vector,bleu_function_vector,chrf_function_vector,function_vector_lang,reference_lang,bleu_function_vector_lang,chrf_function_vector_lang
"Q: ""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.
A:","""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.","""Теперь у нас есть четырёхмесячные мыши, у которых больше нет диабета"", — добавил он.","""Мы теперь имеем 4-месячных мышей, которые не являются диабетическими, но раньше были диабетическими.",3.3961882197738325,26.085648533481997,rus_Cyrl," ""Теперь у нас есть четырёхмесячные мыши, у которых больше нет диабета"", — добавил он.",3.3961882197738325,26.085648533481997
"Q: Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.
A:","Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.","Согласно предупреждению доктора Эхуда Ура (Ehud Ur), профессора медицины в Университете Дэлхаузи в Галифаксе (Новая Шотландия) и председателя клинико-научного отдела Канадской диабетической ассоциации, исследования все еще находятся на начальной стадии.","Dr. Эхуд Ур, профессор медицины, доцент Дальнего Востока и профессор медицины, доцент Дальнего Востока и профессор медицины, доцент Дальнего Востока и профессор медицины, доцент Дальнего Востока и профессор медицины, доцент Дальнего Востока и профессор медицины, доцент Дальнего Востока и профессор медицины, доцент Дальнего Востока и профессор медицины, доцент Даль",0.859122307088785,15.64561698061362,rus_Cyrl," Согласно предупреждению доктора Эхуда Ура (Ehud Ur), профессора медицины в Университете Дэлхаузи в Галифаксе (Новая Шотландия) и председателя клинико-научного отдела Канадской диабетической ассоциации, исследования все еще находятся на начальной стадии.",0.859122307088785,15.64561698061362
"Q: Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.
A:","Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.","Как и некоторые другие эксперты, он сомневается, что диабет излечим, отмечая, что эти открытия не относятся к людям, у которых уже развился диабет 1 типа.","Он скептически относится к тому, что лечение диабета может быть лечением диабета может быть лечением диабета может быть лечением диабета может быть лечением диабета может быть лечением диабета может быть лечением диабета может быть лечением диабета может быть лечением диабета может быть лечением диабета может быть лечением диабета может быть лечением диабета может быть лечением диабета может быть",1.112313360461298,13.207257915936484,rus_Cyrl," Как и некоторые другие эксперты, он сомневается, что диабет излечим, отмечая, что эти открытия не относятся к людям, у которых уже развился диабет 1 типа.",1.112313360461298,13.207257915936484
"Q: On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.
A:","On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.","В понедельник Сара Даниус, постоянный секретарь Нобелевского комитета по литературе при Шведской Академии, публично заявила во время передачи на шведской радиостанции Sveriges о том, что комитет, которому не удалось связаться с Бобом Диланом напрямую и сообщить ему, что он выиграл Нобелевскую премию по литературе за 2016 год, прекращает попытки выйти с ним на связь.","В понедельник, 24 ноября, постоянный секретарь комитета по литературе Сведы Радио в Швеции, которая, несмотря на то, что комитет по литературе Сведы Радио в Швеции, несмотря на то, что комитет по литературе Сведы Радио в Швеции, несмотря на то, что комитет по литературе Сведы Радио в Швеции, несмотря на то, что комитет по литературе Сведы",12.278562600735457,31.053117601879503,rus_Cyrl," В понедельник Сара Даниус, постоянный секретарь Нобелевского комитета по литературе при Шведской Академии, публично заявила во время передачи на шведской радиостанции Sveriges о том, что комитет, которому не удалось связаться с Бобом Диланом напрямую и сообщить ему, что он выиграл Нобелевскую премию по литературе за 2016 год, прекращает попытки выйти с ним на связь.",12.278562600735457,31.053117601879503
"Q: Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""
A:","Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""","Даниус заявил: ""Сейчас мы ничего не делаем. Я звонил и отправлял электронные письма его ближайшему сотруднику и получал очень дружелюбные ответы. На данный момент этого, конечно, достаточно"".","Даниус сказал, ""Сейчас мы делаем ничего. Я перезвонил и отправил электронное письмо к его ближайшему соавтору и получил очень дружественные ответы. Сейчас мы делаем ничего. Я перезвонил и отправил электронное письмо к его ближайшему соавтору и получил очень дружественные ответы. Сейчас мы делаем ничего. Я перезвонил и отправил электронное письмо к его ближайшему соавтору и получил очень дружественные ответы. Сейчас мы дела",9.588542336526434,38.704620899593465,rus_Cyrl," Даниус заявил: ""Сейчас мы ничего не делаем. Я звонил и отправлял электронные письма его ближайшему сотруднику и получал очень дружелюбные ответы. На данный момент этого, конечно, достаточно"".",9.588542336526434,38.704620899593465
"Q: Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.
A:","Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.","Ранее генеральный директор Ring Джейми Симинофф отметил, что эта компания началась с того, что он не слышал дверного звонка в мастерской своего гаража.","До этого, генеральный директор Ring, Джейми Симмонс, ранее отмечал, что компания начала с того, что его дверной звонок не был слышен с его магазина в гараже.",14.234525515369391,50.23995974062877,rus_Cyrl," Ранее генеральный директор Ring Джейми Симинофф отметил, что эта компания началась с того, что он не слышал дверного звонка в мастерской своего гаража.",14.234525515369391,50.23995974062877
"Q: He built a WiFi door bell, he said.
A:","He built a WiFi door bell, he said.","Он сказал, что создал дверной звонок, работающий от WiFi.","Он построил WiFi-домофон, он сказал.",3.5572110236581476,20.580027738394005,rus_Cyrl," Он сказал, что создал дверной звонок, работающий от WiFi.",3.5572110236581476,20.580027738394005
"Q: Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.
A:",Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,"Симинофф сказал, что продажи выросли после его появления в выпуске шоу ""Shark Tank"" в 2013 году, где члены жюри отказались финансировать его стартап.","По словам Siminoff, продажи увеличились после того, как в 2013 году в шоу «Шарк Танк» показал, что продажи увеличились после того, как в шоу «Шарк Танк» показал, что продажи увеличились после того, как в шоу «Шарк Танк» показал, что продажи увеличились после того, как в шоу «Шарк Танк» показал, что продажи увеличились",3.5053121177214663,25.255882321594903,rus_Cyrl," Симинофф сказал, что продажи выросли после его появления в выпуске шоу ""Shark Tank"" в 2013 году, где члены жюри отказались финансировать его стартап.",3.5053121177214663,25.255882321594903
"Q: In late 2017, Siminoff appeared on shopping television channel QVC.
A:","In late 2017, Siminoff appeared on shopping television channel QVC.",В конце 2017 года Симинофф появился на торговом телеканале QVC.,В конце 2017 года Симмоффен показал себя на телевизионном канале QVC.,25.34743707366162,53.459426010680055,rus_Cyrl, В конце 2017 года Симинофф появился на торговом телеканале QVC.,25.34743707366162,53.459426010680055
"Q: Ring also settled a lawsuit with competing security company, the ADT Corporation.
A:","Ring also settled a lawsuit with competing security company, the ADT Corporation.","Кроме того, Ring урегулировала судебный процесс с конкурентами, охранной фирмой ADT Corporation.",В 2019 году компания Ring также заключила судебный процесс с конкурирующей компанией ADT Corporation.,23.305630391955113,46.51987196017284,rus_Cyrl," Кроме того, Ring урегулировала судебный процесс с конкурентами, охранной фирмой ADT Corporation.",23.305630391955113,46.51987196017284
"Q: While one experimental vaccine appears able to reduce Ebola mortality, up until now, no drugs have been clearly demonstrated suitable for treating existing infection.
A:","While one experimental vaccine appears able to reduce Ebola mortality, up until now, no drugs have been clearly demonstrated suitable for treating existing infection.","Несмотря на то, что нашлась экспериментальная вакцина, способная снизить смертность от вируса Эбола, пока еще ни одно лекарство не продемонстрировало явного эффекта в лечении существующей инфекции.","В ходе экспериментальной вакцины может быть доказано, что пока нет доказательств, что экспериментальная вакцина может быть доказано, что пока нет доказательств, что экспериментальная вакцина может быть доказано, что пока нет доказательств, что экспериментальная вакцина может быть доказано, что пока нет доказательств, что экспериментальная вакцина может быть доказано, что пока нет доказательств, что экспериментальная вакцина может быть доказано, что пока нет доказательств, что эксперимента",3.9080007581820717,20.98394864665286,rus_Cyrl," Несмотря на то, что нашлась экспериментальная вакцина, способная снизить смертность от вируса Эбола, пока еще ни одно лекарство не продемонстрировало явного эффекта в лечении существующей инфекции.",3.9080007581820717,20.98394864665286
"Q: One antibody cocktail, ZMapp, initially showed promise in the field, but formal studies indicated it had less benefit than sought in preventing death.
A:","One antibody cocktail, ZMapp, initially showed promise in the field, but formal studies indicated it had less benefit than sought in preventing death.","Коктейль из антител ZMapp изначально показал многообещающие результаты в этой области, но официальные исследования показали, что он обладает меньшей пользой в предотвращении смерти, чем ожидалось ранее.","Впервые в истории, когда препарат ZMapp, который изначально показал себя хорошо, но в официальных исследованиях показал себя хорошо, но в официальных исследованиях показал себя хорошо.",12.324087136776463,29.44999993097785,rus_Cyrl," Коктейль из антител ZMapp изначально показал многообещающие результаты в этой области, но официальные исследования показали, что он обладает меньшей пользой в предотвращении смерти, чем ожидалось ранее.",12.324087136776463,29.44999993097785
"Q: In the PALM trial, ZMapp served as a control, meaning scientists used it as a baseline and compared the three other treatments to it.
A:","In the PALM trial, ZMapp served as a control, meaning scientists used it as a baseline and compared the three other treatments to it.","В испытании PALM, ZMapp служил в качестве контрольного уровня, то есть учёные использовали его в качестве основы и сравнили с ним три других варианта лечения.","В ходе исследования ZMapp служил контролем, что означает, что ученые использовали ZMapp в качестве контрольного исследования, что означает, что ученые использовали ZMapp в качестве контрольного исследования.",14.56953661492394,40.243734893291574,rus_Cyrl," В испытании PALM, ZMapp служил в качестве контрольного уровня, то есть учёные использовали его в качестве основы и сравнили с ним три других варианта лечения.",14.56953661492394,40.243734893291574
"Q: USA Gymnastics supports the United States Olympic Committee's letter and accepts the absolute need of the Olympic family to promote a safe environment for all of our athletes.
A:",USA Gymnastics supports the United States Olympic Committee's letter and accepts the absolute need of the Olympic family to promote a safe environment for all of our athletes.,Федерация гимнастики США поддерживает письмо Олимпийского комитета США и соглашается с абсолютной необходимостью создания безопасной среды для всех наших спортсменов.,США гимнастика поддерживает письмо Олимпийского комитета США и принимает абсолютное требование США гимнастика поддерживает письмо Олимпийского комитета США и принимает абсолютное требование США гимнастика поддерживает письмо Олимпийского комитета США и принимает абсолютное требование США гимнастика поддерживает письмо Олимпийского комитета США и принимает абсолютное требование США гимнастика поддерживает письмо Олимпийского комитета США и принимает абсолютное требование США гимнастика поддерживает письмо Олимпийского комитета США и принимает абсолютное требование США гимнастика поддерживает письмо Олимпийского комитета США,7.834389964675006,27.668560812534874,rus_Cyrl, Федерация гимнастики США поддерживает письмо Олимпийского комитета США и соглашается с абсолютной необходимостью создания безопасной среды для всех наших спортсменов.,7.834389964675006,27.668560812534874
"Q: We agree with the USOC's statement that the interests of our athletes and clubs, and their sport, may be better served by moving forward with meaningful change within our organization, rather than decertification.
A:","We agree with the USOC's statement that the interests of our athletes and clubs, and their sport, may be better served by moving forward with meaningful change within our organization, rather than decertification.","Мы согласны с заявлением USOC о том, что интересам наших спортсменов, клубов, а также их видов спорта, больше соответствует проведение реформ внутри нашей организации, а не аннулирование ее сертификации.","Мы согласны с тем, что заявление USOC о том, что наши спортсмены и клубы могут быть лучше защищены, если мы будем двигаться вперед, а не де-факто.",18.639982060076164,30.237750605212117,rus_Cyrl," Мы согласны с заявлением USOC о том, что интересам наших спортсменов, клубов, а также их видов спорта, больше соответствует проведение реформ внутри нашей организации, а не аннулирование ее сертификации.",18.639982060076164,30.237750605212117
"Q: USA Gymnastics supports an independent investigation that may shine light on how abuse of the proportion described so courageously by the survivors of Larry Nassar could have gone undetected for so long and embraces any necessary and appropriate changes.
A:",USA Gymnastics supports an independent investigation that may shine light on how abuse of the proportion described so courageously by the survivors of Larry Nassar could have gone undetected for so long and embraces any necessary and appropriate changes.,"USA Gymnastics поддерживает независимое расследование, которое бы могло пролить свет на то, каким образом насилие в таких масштабах, столь храбро описанных выжившими жертвами Ларри Наскара, могло продолжаться незамеченным так долго, и поддерживает все необходимые и уместные в данном случае изменения.","США гимнастика поддерживает независимое расследование, которое может осветить, как в США гимнастика поддерживает независимое расследование, которое может осветить, как в США гимнастика поддерживает независимое расследование, которое может осветить, как в США гимнастика поддерживает независимое расследование, которое может осветить, как в США гимнастика поддерживает независимое расследование, которое может осветить, как в США гимнастика поддерживает независимое расследование, которое может осветить, как в США гимнастика",9.394618999543248,26.475780433990476,rus_Cyrl," USA Gymnastics поддерживает независимое расследование, которое бы могло пролить свет на то, каким образом насилие в таких масштабах, столь храбро описанных выжившими жертвами Ларри Наскара, могло продолжаться незамеченным так долго, и поддерживает все необходимые и уместные в данном случае изменения.",9.394618999543248,26.475780433990476
