prompt,query,reference,generation_function_vector,bleu_function_vector,chrf_function_vector,function_vector_lang,reference_lang,bleu_function_vector_lang,chrf_function_vector_lang,metricx_qe_function_vector,metricx_function_vector
"Q: ""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.
A:","""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.","""Sasa tuna panya wenye umri wa miezi minne ambao hawana kisukari ambao awali walikuwa na kisukari"", aliongeza.","""Sasa tuna panya ambao sasa tuna panya ambao sasa tuna panya ambao sasa tuna panya ambao sasa tuna panya ambao sasa tuna panya ambao sasa tuna panya ambao sasa tuna panya ambao sasa tuna panya ambao sasa tuna panya ambao sasa tuna panya ambao sasa tuna panya ambao sasa tuna panya ambao sasa tuna panya ambao sasa tuna panya ambao sasa tuna panya ambao sasa tuna",5.674090350276851,16.554061944919898,swh_Latn," ""Sasa tuna panya wenye umri wa miezi minne ambao hawana kisukari ambao awali walikuwa na kisukari"", aliongeza.",5.674090350276851,16.554061944919898,25.0,25.0
"Q: Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.
A:","Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.","Dak. Ehud Ur, profesa wa udaktari katika chuo kikuu cha Dalhousie kule Halifix, Nova Scotia na mwenyekiti wa kitengo cha kliniki na kisayansi kwenye ushirika wa ugonjwa wa kisukari nchini Canada alionya kuwa utafiti bado uko kwenye siku za mapema.","Daktari Ehud Ur, mwalimu wa dawa, Daktari Ehud Ur, mwalimu wa dawa, Daktari Ehud Ur, mwalimu wa dawa, Daktari Ehud Ur, mwalimu wa dawa, Daktari Ehud Ur, mwalimu wa dawa, Daktari Ehud Ur, mwalimu wa dawa, Daktari Ehud Ur, mwalimu wa dawa, Daktari Ehud Ur, mwal",3.373834307858756,14.432339673951459,swh_Latn," Dak. Ehud Ur, profesa wa udaktari katika chuo kikuu cha Dalhousie kule Halifix, Nova Scotia na mwenyekiti wa kitengo cha kliniki na kisayansi kwenye ushirika wa ugonjwa wa kisukari nchini Canada alionya kuwa utafiti bado uko kwenye siku za mapema.",3.373834307858756,14.432339673951459,20.375,25.0
"Q: Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.
A:","Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.","Kama wataalam wengine, ana shaka kuhusu kama ugonjwa wa kisukari unaweza kutibiwa, akagundua kuwa matokeo haya hayana umuhimu kwa watu ambao tayari wana ugojwa wa kisukari wa aina 1.","Kama wengine, yeye ni mshangiliaji, yeye ni mshangiliaji, kama wengine, yeye ni mshangiliaji, kama wengine, yeye ni mshangiliaji, kama wengine, yeye ni mshangiliaji, kama wengine, yeye ni mshangiliaji, kama wengine, yeye ni mshangiliaji, kama wengine, yeye ni mshangiliaji,",1.177797638428802,13.948055163830201,swh_Latn," Kama wataalam wengine, ana shaka kuhusu kama ugonjwa wa kisukari unaweza kutibiwa, akagundua kuwa matokeo haya hayana umuhimu kwa watu ambao tayari wana ugojwa wa kisukari wa aina 1.",1.177797638428802,13.948055163830201,25.0,25.0
"Q: On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.
A:","On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.","Mnamo Jumatatu, Sara Danius, katibu wa kudumu wa Kamati ya Nobel ya Fasihi katika Chuo cha Uswidi, alitangaza hadharani wakati wa kipindi cha redio kwenye Sveriges Radio katika Uswidi kwamba kamati hiyo, kwa kutoweza kumfikia Bob Dylan moja kwa moja kuhusu ushindi wa Tuzo la Nobel la Fasihi 2016, iliacha juhudi zake za kujaribu kumfikia.","Siku ya Jumatano, Sara Danius, mwanamke wa kudumu, alitangaza kwamba siku ya Jumatano, Sara Danius, mwanamke wa kudumu, alitangaza kwamba siku ya Jumatano, Sara Danius, mwanamke wa kudumu, alitangaza kwamba siku ya Jumatano, Sara Danius, mwanamke wa kudumu, alitangaza kwamba siku ya Jumatano, Sara Danius, mwan",7.754866738807297,23.21695844437283,swh_Latn," Mnamo Jumatatu, Sara Danius, katibu wa kudumu wa Kamati ya Nobel ya Fasihi katika Chuo cha Uswidi, alitangaza hadharani wakati wa kipindi cha redio kwenye Sveriges Radio katika Uswidi kwamba kamati hiyo, kwa kutoweza kumfikia Bob Dylan moja kwa moja kuhusu ushindi wa Tuzo la Nobel la Fasihi 2016, iliacha juhudi zake za kujaribu kumfikia.",7.754866738807297,23.21695844437283,25.0,25.0
"Q: Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""
A:","Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""","Danius alisema, ""Sasa hivi hatufanyi chochote. Nimepiga simu na kutuma barua pepe kwa mshirika wake wa karibu na kupata majibu ya kirafiki sana. Kwa sasa, hakika hiyo imetosha.""","Danius alisema, ""Sasa tunafanya hakuna, tunafanya hakuna. Sasa tunafanya hakuna, tunafanya hakuna.",10.91798206428288,22.952119073796542,swh_Latn," Danius alisema, ""Sasa hivi hatufanyi chochote. Nimepiga simu na kutuma barua pepe kwa mshirika wake wa karibu na kupata majibu ya kirafiki sana. Kwa sasa, hakika hiyo imetosha.""",10.91798206428288,22.952119073796542,25.0,25.0
"Q: Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.
A:","Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.","Hapo awali, Mkurugenzi Mtendaji wa Ring, Jamie Siminoff, alitamka kampuni hiyo ilianza wakati kengele yake ya mlangoni haikuwa inasikika katika duka lake kwenye karakana yake.","Hapo awali, Mkurugenzi wa kampuni hiyo, Jamie Siminoff, alikuwa mkuu wa kampuni hiyo, Mkurugenzi huyo alikuwa mkuu wa kampuni hiyo, Mkurugenzi huyo alikuwa mkuu wa kampuni hiyo, Mkurugenzi huyo alikuwa mkuu wa kampuni hiyo, Mkurugenzi huyo alikuwa mkuu wa kampuni hiyo, Mkurugenzi huyo alikuwa mkuu wa kampuni hiyo",15.494484645430559,34.957520499633404,swh_Latn," Hapo awali, Mkurugenzi Mtendaji wa Ring, Jamie Siminoff, alitamka kampuni hiyo ilianza wakati kengele yake ya mlangoni haikuwa inasikika katika duka lake kwenye karakana yake.",15.494484645430559,34.957520499633404,24.625,25.0
"Q: He built a WiFi door bell, he said.
A:","He built a WiFi door bell, he said.","Aliunda kengele ya mlango ya Wi-Fi, alisema.","Alijenga mlango wa WiFi, alijenga mlango wa WiFi, alijenga mlango wa WiFi, alijenga mlango wa WiFi, alijenga mlango wa WiFi, alijenga mlango wa WiFi, alijenga mlango wa WiFi, alijenga mlango wa WiFi, alijenga mlango wa WiFi, alijenga mlango wa WiFi, alijenga mlango wa WiFi, alijenga mlango wa WiFi, alijenga ml",0.9835886807252904,12.633880858515715,swh_Latn," Aliunda kengele ya mlango ya Wi-Fi, alisema.",0.9835886807252904,12.633880858515715,21.875,24.125
"Q: Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.
A:",Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,Siminoff alisema mauzo yaliongezeka baada ya yeye kuonekana katika kipindi cha Shark Tank mnamo 2013 ambapo paneli ya onyesho hilo ilikataa kufadhili biashara hiyo mpya.,Siminoff alisema mauzo yalipoongeza baada ya kuonekana katika maonyesho ya Simu hiyo iliongeza mauzo baada ya kuonekana katika maonyesho hayo.,20.10017680522162,42.581631434168635,swh_Latn, Siminoff alisema mauzo yaliongezeka baada ya yeye kuonekana katika kipindi cha Shark Tank mnamo 2013 ambapo paneli ya onyesho hilo ilikataa kufadhili biashara hiyo mpya.,20.10017680522162,42.581631434168635,19.875,19.125
"Q: In late 2017, Siminoff appeared on shopping television channel QVC.
A:","In late 2017, Siminoff appeared on shopping television channel QVC.","Baadaye 2017, Siminoff alionekana katika chaneli ya ununuzi ya televisheni QVC.","Katika mwisho wa 2017, Siminoff alionekana kwenye televisheni, Siminoff alionekana kwenye televisheni,",23.933115010284965,45.56999259124218,swh_Latn," Baadaye 2017, Siminoff alionekana katika chaneli ya ununuzi ya televisheni QVC.",23.933115010284965,45.56999259124218,20.25,19.0
"Q: Ring also settled a lawsuit with competing security company, the ADT Corporation.
A:","Ring also settled a lawsuit with competing security company, the ADT Corporation.","Ring pia alitatua mashtaka ya kampuni pinzani ya usalama, Shirika la ADT.","Mzunguko pia alishindwa kesi hiyo, Mzunguko pia alishindwa kesi hiyo,",2.276859592073037,14.784077185020339,swh_Latn," Ring pia alitatua mashtaka ya kampuni pinzani ya usalama, Shirika la ADT.",2.276859592073037,14.784077185020339,24.625,25.0
