prompt,reference,generation_baseline,generation_function_vector,bleu_baseline,bleu_function_vector,chrf_baseline,chrf_function_vector
"Q: ピットマン氏は、来週になるまで状況は改善しないだろうと示唆した。
A:",Pittman suggested that conditions wouldn't improve until sometime next week., Pitman氏は来週になるまで状況は改善しないだろうと示唆した。, Pitman says he expects the situation to get worse before it gets better.,2.4617934274488045,2.719665272174911,3.628857208403296,16.293624705665074
"Q: こうした遊牧段階での暴挙や進撃は、約17日間ずつ続きます。
A:",Each of these nomadic rampages or marches lasts for approximately 17 days., These nomadic stages of aggression and advance continue for about 17 days each., These nomadic stages of aggression and advance continue for about 17 days each.,7.439820585622744,7.439820585622744,31.784870252692844,31.784870252692844
"Q: 構造が異なれば機能も異なり、感じ取る波長が異なり、視力の程度も異なります。また、それらの構造には入力信号を理解するためのさまざまな処理や機能に応じた個数が必要になります。
A:","The different constructions have different capabilities, are sensitive to different wave-lengths and have differing degrees of acuity, also they require different processing to make sense of the input and different numbers to work optimally."," The structure of the structure is different, the function is different, and the wavelength of perception is different. In addition, there are various processing and functions required to understand the input signal, and the number of structures required is different.<eos>"," The structure of the lens is different, the wavelength perceived is different, and the degree of vision is different. In addition, there are various processing and functions to understand the input signal that requires a number of different structures.",2.788639560397244,3.088658354076622,37.0965701717659,39.08853111492759
"Q: 台風は時速11 kmの速さで中国に向かって進んでいると見られています。
A:",The typhoon is estimated to be moving toward China at eleven kph., It is estimated that the typhoon is moving at a speed of 11 km per hour towards China., A typhoon is moving at a speed of 11 km per hour towards China.,17.096862609754865,16.053381456763358,47.345065024328996,33.769891405283296
"Q: マッサは少なくとも2009年の残りのシーズンは欠場することになっている。
A:",Massa is due to be out for at least the rest of the 2009 season., Masahiro is expected to miss at least the rest of the season., Massar will miss at least the rest of the season.,36.0200395530214,33.62301724861858,52.203452812681064,51.57436578726864
"Q: ノースカロライナ州シャーロットの魅力は、家族向けの択肢が豊富に揃っていてその質が高いことです。
A:","One of strong points of Charlotte, North Carolina, is that it has an abundance of high-quality options for families.", North Carolina's charm is that it has a wide variety of options for family-friendly choices., The charm of North Carolina is the variety of family-friendly choices that are plentiful and of high quality.,13.827175716697774,5.137737290383572,40.12091532014088,31.387258200622487
"Q: そのため、安価なズームレンズはフラッシュを使わないと低照度の状態では使いづらくなります。
A:",This makes inexpensive zoom lenses hard to use in low-light conditions without a flash.," Because of that, the zoom lens is difficult to use in low-light conditions if you don't use a flash."," Because of this, zoom lenses that are cheap are difficult to use in low-light conditions without using a flash.",29.15383158985785,42.30007373630659,52.086097360944606,61.690658164724574
"Q: 伝統的に、王位継承者は学校卒業後にそのまま軍に入ります。
A:","Traditionally, the heir to the throne would go straight into the military after finishing school.", The tradition is that the heir to the throne is immediately admitted to the military after graduation from school.," Traditionally, the heir to the throne is sent to the military academy after graduation.",31.751444361869975,51.0032342952127,54.10442364554612,58.67207125132147
"Q: 細胞とは生物の構造的機能的な最小単位です。
A:",A cell is the smallest structural and functional unit of a living (things) organism., The cell is the smallest structural and functional unit of life., Cells are the structural and functional units of life.,49.64641636681744,16.275358954490347,66.29231088541417,41.33292295223651
"Q: 主任研究者は、これは低所得国における患者の癌、結核、HIV、マラリアの早期発見につながる可能性があると述べます。こうした国では、乳がんなどの病気の生存率が豊かな国の半分になることもあるとされます。
A:","Lead researchers say this may bring early detection of cancer, tuberculosis, HIV and malaria to patients in low-income countries, where the survival rates for illnesses such as breast cancer can be half those of richer countries."," The head of the research team said that this could lead to earlier detection of cancer, tuberculosis, HIV, and malaria in low-income countries. It is estimated that the survival rate of breast cancer in such countries is as high as half of that in rich countries.<eos>"," The principal investigator says that this could lead to earlier detection of cancer, tuberculosis, HIV, and malaria in low-income countries, where survival rates for diseases such as breast cancer can be as low as half of those in wealthy countries.",28.354021329080144,45.99334314984113,55.104403011917256,64.68107905550528
"Q: ドイツはこの攻撃に「シーリオン作戦」という暗号名を付けました。イギリス軍の重火器や物資のほとんどは、ダンカークから避難したときに失われていたので、軍はかなり弱体でした。
A:","Germany code-named the attack “Operation Sealion”. Most of the British Army's heavy weapons and supplies had been lost when it evacuated from Dunkirk, so the army was fairly weak.", ドイツはこの攻撃に「シーリオン作戦」という暗号名を付けました。イギリス軍の重火器や物資のほとんどは、ダンカークから避難したときに失われていたので、軍はかなり弱体でした。<eos>," The Germans called this attack ""Operation Sea Lion"" because they were so weak after the evacuation of Dunkirk. The British had almost all their heavy weapons and supplies evacuated when they were forced to take refuge in Dunkirk.",0.0,13.360037751850415,0.3614059586306809,42.10827636591587
"Q: これらはあまり小回りがきかないので、自然歩道を通って高原に出ようとすると南極大陸の山々をぐるりと回らなければなりません。
A:",These aren't very nimble so the trail has to take a long swerve around the Transantarctic Mountains to come onto the plateau.," These are not very nimble, so if you want to go to the plateau by natural path, you have to go around the mountains of the Antarctic continent."," These are not very nimble, so if you want to go to the plateau from the natural path, you have to go around the mountains of the Antarctic continent.",8.78946813391374,8.534428913397688,44.1816801468533,44.12017202166722
"Q: 無限のバリエーションがありますが、ほとんどの人にとって「ディズニーワールドに行く」ことを話題にしていることに変わりはないのです。
A:","There are infinite variations possible, but this remains what most people mean when they talk of ""going to Disney World""."," There are many variations of the Disney World, but it is almost the same thing to talk about going to Disney World.<eos>"," There are so many variations of the Disney World, but it is still the most talked about topic for most people.",8.649169046915254,6.629514204584594,40.489739709709,38.42651602881638
"Q: 世界博覧会（通称は万国博覧会、または単に万博）は、芸術と科学を展示する大規模な国際的祭典です。
A:","A World's Fair (commonly called World Exposition, or simply Expo) is large international festival of arts and sciences.", The World Expo is a large international event that showcases art and science., The World Expo is a large international event that showcases art and science.,3.1601703526974942,3.1601703526974942,32.867224335716436,32.867224335716436
"Q: 被害者を保護するには、まず現場を調査して安全を確保しなければなりません。
A:","To Check the victim, you must first survey the scene to ensure your safety."," To protect the victim, we must first investigate the scene and ensure safety."," First, you need to investigate the scene and make sure it is safe.",15.840267669199056,7.655122720591221,49.79672352822699,26.70266660495999
"Q: そして数年後の1639年にイギリスの天文学者ジェレミア・ホロックスが金星の通過を観測しました。
A:","Then, a few years later in 1639, an English astronomer named Jeremiah Horrocks observed a transit of Venus."," And in 1639, the English astronomer Jeremiah Horrocks observed the passage of Venus."," And in 1639, the English astronomer Jeremiah Horrocks observed the passage of Venus.",35.517975343212704,35.517975343212704,54.51098091503116,54.51098091503116
"Q: しかし、世界各地には、体験してみる価値のある特徴的なコーヒーの飲み方がたくさんあります。
A:","Nevertheless, there are many distinctive ways of drinking coffee around the world that are worth experiencing.", But there are many distinctive ways of drinking coffee in different parts of the world., But there are many distinctive ways to drink coffee in different parts of the world.,39.5582927962893,25.571168532906167,56.447532848697044,45.98648197855066
