prompt,reference,generation_baseline,generation_function_vector,bleu_baseline,bleu_function_vector,chrf_baseline,chrf_function_vector
"Q: Pitman insinuó que las condiciones no mejorarían hasta la semana siguiente.
A:",Pittman suggested that conditions wouldn't improve until sometime next week., Pitman hinted that conditions would not improve until the following week., Pitman hinted that conditions would not improve until the following week.,8.862962837251187,8.862962837251187,53.71943804962018,53.71943804962018
"Q: Cada uno de estos desmadres o marchas errantes dura aproximadamente 17 días.
A:",Each of these nomadic rampages or marches lasts for approximately 17 days., Each of these riots or wandering marches lasts approximately 17 days., Each of these riots or marches lasts approximately 17 days.,36.17043615983556,43.04766824560559,63.599876147604284,67.81124480966805
"Q: Las distintas construcciones tienen diferentes capacidades, son susceptibles de tener distintas longitudes y grados de agudeza; también requieren un procesamiento diferenciado para dar sentido a la entrada y números disímiles para que funcionen de forma óptima.
A:","The different constructions have different capabilities, are sensitive to different wave-lengths and have differing degrees of acuity, also they require different processing to make sense of the input and different numbers to work optimally."," The different constructions have different capacities, are susceptible to having different lengths and degrees of sharpness; they also require different processing to make sense of the input and different numbers to function optimally.<eos>"," The different constructions have different capacities, are susceptible to having different lengths and degrees of sharpness; they also require different processing to make sense of the input and different numbers to work optimally.",41.57417081095287,50.80774760525802,70.38005581282759,74.96511737940602
"Q: Se calcula que el tifón se desplaza en dirección a China a 11 km/h.
A:",The typhoon is estimated to be moving toward China at eleven kph., It is calculated that the typhoon is moving towards China at 11 km/h., It is calculated that the typhoon is moving towards China at 11 km/h.,16.19557012853241,16.19557012853241,45.73362552499517,45.73362552499517
"Q: Massa debe estar fuera durante al menos lo que resta de la temporada 2009.
A:",Massa is due to be out for at least the rest of the 2009 season., Massa must be out for at least the rest of the 2009 season., Massa must be out for at least the rest of the 2009 season.,74.16367431893484,74.16367431893484,81.2548275149937,81.2548275149937
"Q: Una de las principales ventajas de Charlotte, en Carolina del Norte, es que ofrece un buen número de opciones de calidad para familias.
A:","One of strong points of Charlotte, North Carolina, is that it has an abundance of high-quality options for families."," One of the main advantages of Charlotte, North Carolina, is that it offers a good number of quality options for families.<eos>"," One of the main advantages of Charlotte, North Carolina, is that it offers a good number of quality options for families.",35.630548449868954,44.67710283121971,62.93651801870334,65.4838811562262
"Q: Esto hace que las lentes con zoom económicas no sean fáciles de utilizar en condiciones de poca luz o sin flash.
A:",This makes inexpensive zoom lenses hard to use in low-light conditions without a flash., This makes inexpensive zoom lenses difficult to use in low light or without a flash., This makes inexpensive zoom lenses difficult to use in low light or without flash.,61.96892002000342,54.05009771023598,71.02705127683443,65.01082041224882
"Q: Es tradición que el futuro sucesor del trono se enliste directamente en el ejército tras finalizar su educación escolar.
A:","Traditionally, the heir to the throne would go straight into the military after finishing school.", It is a tradition that the future successor to the throne enlists directly in the army after finishing his school education., It is tradition that the future successor to the throne enlists directly in the army after finishing his school education.,14.06853564987433,14.643937864373886,43.287094876603135,43.76001199344379
"Q: Se define a la célula como la más pequeña unidad estructural y funcional que forma un organismo (cosas) vivo.
A:",A cell is the smallest structural and functional unit of a living (things) organism., A cell is defined as the smallest structural and functional unit that forms a living organism., It is defined as the smallest structural and functional unit that forms a living organism (things).,51.19139560355036,46.330597318302274,74.30927813912213,69.17751945149506
"Q: Los principales investigadores principales sostienen que esto puede permitir la detección precoz del cáncer, la tuberculosis, el VIH y la malaria en pacientes de países de bajos recursos, donde la tasa de supervivencia de enfermedades como el cáncer de mama puede ser la mitad de la de los países más avanzados.
A:","Lead researchers say this may bring early detection of cancer, tuberculosis, HIV and malaria to patients in low-income countries, where the survival rates for illnesses such as breast cancer can be half those of richer countries."," The main researchers argue that this could allow for the early detection of cancer, tuberculosis, HIV and malaria in patients in low-resource countries, where the survival rate of diseases such as breast cancer can be half that of more advanced countries.<eos>"," The main researchers argue that this could allow the early detection of cancer, tuberculosis, HIV and malaria in patients in low-income countries, where the survival rate of diseases such as breast cancer can be half that of more advanced countries.",46.007866295150855,57.40837126569477,69.55443599943993,73.6228634661358
