prompt,query,reference,generation_function_vector,bleu_function_vector,chrf_function_vector,function_vector_lang,reference_lang,bleu_function_vector_lang,chrf_function_vector_lang,metricx_qe_function_vector,metricx_function_vector
"Q: ""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.
A:","""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.","« Nous avons à présent des souris de 4 mois qui ne sont pas diabétiques alors qu'elles l'étaient auparavant », a-t-il ajouté.","""Nous avons maintenant des souris de quatre mois, nous avons maintenant des souris de quatre mois, nous avons maintenant des souris de quatre mois, nous avons maintenant des souris de quatre mois, nous avons maintenant des souris de quatre mois, nous avons maintenant des souris de quatre mois, nous avons maintenant des souris de quatre mois, nous avons maintenant des souris de quatre mois, nous avons maintenant des souris de quatre mois, nous avons maintenant des souris de quatre mois",2.558684048190922,17.73334887358717,fra_Latn," « Nous avons à présent des souris de 4 mois qui ne sont pas diabétiques alors qu'elles l'étaient auparavant », a-t-il ajouté.",2.558684048190922,17.73334887358717,24.5,25.0
"Q: Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.
A:","Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.","Le Dr Ehud Ur, professeur de médecine à l'Université Dalhousie de Halifax (Nouvelle-Écosse) et président de la division clinique et scientifique de l'Association canadienne du diabète, a averti que la recherche en était encore à ses débuts.","Le Dr Ehud Ur, le professeur de médecine Dr Ehud, le Dr Ehud, le médecin, le Dr Ehud, le médecin, le Dr Ehud, le médecin, le Dr Ehud, le médecin, le Dr Ehud, le médecin, le Dr Ehud, le médecin, le Dr Ehud, le médecin, le Dr Ehud, le médecin, le Dr Ehud, le médecin, le Dr Ehud, le médecin, le Dr Eh",9.02376748383546,19.545077535892887,fra_Latn," Le Dr Ehud Ur, professeur de médecine à l'Université Dalhousie de Halifax (Nouvelle-Écosse) et président de la division clinique et scientifique de l'Association canadienne du diabète, a averti que la recherche en était encore à ses débuts.",9.02376748383546,19.545077535892887,19.125,19.875
"Q: Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.
A:","Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.","À l'instar d'autres experts, il se montre sceptique quant à la possibilité de guérir le diabète, faisant remarquer que ces résultats ne sont pas applicables aux personnes qui souffrent déjà de diabète de type 1.","Comme certains experts, comme le diabète, il est comme certains experts, il est comme le diabète, les experts comme le diabète, les experts comme le diabète, les experts comme le diabète, les experts comme le diabète, les experts comme le diabète, les experts comme le diabète, les experts comme le diabète, les experts comme le diab comme le diabète, les experts comme le diabète",5.6444613808927,19.913206225613784,fra_Latn," À l'instar d'autres experts, il se montre sceptique quant à la possibilité de guérir le diabète, faisant remarquer que ces résultats ne sont pas applicables aux personnes qui souffrent déjà de diabète de type 1.",5.6444613808927,19.913206225613784,21.75,21.5
"Q: On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.
A:","On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.","Lundi, lors d'une émission de radio sur Sveriges Radio, en Suède, Sara Danius, secrétaire permanente du Comité Nobel de Littérature de l'Académie Suédoise, a annoncé publiquement que le comité, incapable de joindre directement Bob Dylan au sujet du prix Nobel de littérature 2016, avait renoncé à le contacter.","Le mardi, Sara Danius, le mardi, le mardi, Sara Danius a le mardi, le mardi, Sara Danius, le mardi, Sara Danius, le mardi, le mardi, Sara Danius, le mardi, le mardi, Sara Danius, le mardi, le mardi, Sara Danius, le mardi, le mardi, Sara Danius, le mardi, le mardi, Sara Danius,",4.182537763206267,13.657290235761735,krc_Cyrl,,,,25.0,25.0
"Q: Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""
A:","Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""","Danius a déclaré : « En ce moment, nous ne faisons rien. J'ai appelé et envoyé des courriels à son plus proche collaborateur et j'ai reçu des réponses très amicales. Pour l'instant, c'est certainement suffisant. »","Danius a dit que nous sommes actuellement, nous avons dit que Danius a dit que nous sommes actuellement, nous avons dit que Danius a dit que nous sommes actuellement, nous avons dit que Danius a dit que nous sommes actuellement, nous avons dit que Danius a dit que nous sommes actuellement, nous avons dit que Danius a dit que nous sommes actuellement, nous avons dit que Danius a dit que nous sommes actuellement, nous avons dit que Danius",1.8930930362938037,15.311489568242537,fra_Latn," Danius a déclaré : « En ce moment, nous ne faisons rien. J'ai appelé et envoyé des courriels à son plus proche collaborateur et j'ai reçu des réponses très amicales. Pour l'instant, c'est certainement suffisant. »",1.8930930362938037,15.311489568242537,25.0,25.0
"Q: Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.
A:","Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.","Auparavant, le PDG de Ring, Jamie Siminoff, a fait remarquer qu'il a lancé l'entreprise lorsque la sonnette de sa porte d'entrée n'était pas audible depuis son magasin dans son garage.","Antes, el director de Ring, Jamie Simin, anteriormente, el director de Ring, el director de Ring, el director de Ring, el director de Ring, el director de Ring, el director de Ring, el director de Ring, el director de Ring, el director de Ring, el director de Ring, el director de Ring, el director de Ring, el director de Ring, el director de Ring, el director de Ring, el director de Ring, el director de Ring,",2.6382391487135104,15.356471369688213,spa_Latn," Con anterioridad, el director ejecutivo de Ring, Jamie Siminoff, mencionó que la compañía había iniciado a raíz de que el timbre de su entrada no podía oírse desde la tienda que tenía montada en su garaje.",3.7142644702534118,20.597519326403464,18.75,18.625
"Q: He built a WiFi door bell, he said.
A:","He built a WiFi door bell, he said.",Il dit avoir conçu une sonnette de porte Wi-Fi.,"Il a construit un WiFi, il a construit un WiFi, il a construit un WiFi, il a construit un WiFi, il a construit un WiFi, il a construit un WiFi, il a construit un WiFi, il a construit un WiFi, il a construit un WiFi, il a construit un WiFi, il a construit un WiFi, il a construit un WiFi, il a construit un WiFi, il a construit un WiFi, il a",0.35896057761679323,5.812681192304185,fur_Latn," Alore al à costruît un campanel WiFi, al à contât.",0.794510362267378,9.74921655217002,21.875,23.375
"Q: Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.
A:",Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,M. Siminoff a déclaré que les ventes ont augmenté après son apparition en 2013 dans un épisode de Shark Tank où le panel de la série a refusé de financer la start-up.,Siminoff a Siminoff a Siminoff a Siminoff a Siminoff a Siminoff a Siminoff a Siminoff a Siminoff a Siminoff a Siminoff a Siminoff a Siminoff a Siminoff a Siminoff a Siminoff a Siminoff a Siminoff a Siminoff a Siminoff a Siminoff a Siminoff a Siminoff a Siminoff a Siminoff a,2.3761402037683084,7.937236965227136,pap_Latn, Siminoff a bisa ku benta a subi enormemente despues di su aparishon na 2013 den un episodio di Shark Tank na unda e pènel di e show a rechasá fondo pa start ku negoshi.,2.4869518333862297,8.894090760612897,25.0,23.625
"Q: In late 2017, Siminoff appeared on shopping television channel QVC.
A:","In late 2017, Siminoff appeared on shopping television channel QVC.","Fin 2017, Siminoff est apparu sur la chaîne de télé-achat QVC.","En 1999, Siminoff apparaît en 1999, Siminoff apparaît en 1999, Siminoff apparaît en 1999, Siminoff apparaît en 1999, Siminoff apparaît en 1999, Siminoff apparaît en 1999, Siminoff apparaît en 1999, Simin",2.5560860212461134,14.147297563518885,ltz_Latn, Enn 2017 ass de Siminoff um Shopping-Fernseesender QVC opgetrueden.,2.5560860212461134,11.026975606119285,24.875,25.0
"Q: Ring also settled a lawsuit with competing security company, the ADT Corporation.
A:","Ring also settled a lawsuit with competing security company, the ADT Corporation.","Ring a également réglé un procès avec une entreprise de sécurité concurrente, l'ADT Corporation.","Le Ring a également le Ring a également un accord avec le Ring, le Ring a également le Ring a également le Ring, le Ring a également le Ring, le Ring a également le Ring, le Ring a également le Ring, le Ring a également le Ring, le Ring a également le Ring, le Ring a également le Ring, le Ring a également le Ring, le Ring a également le Ring, le Ring a également le Ring, le Ring a également le Ring, le Ring a également le",1.589020724534756,14.973895937505072,fra_Latn," Ring a également réglé un procès avec une entreprise de sécurité concurrente, l'ADT Corporation.",1.589020724534756,14.973895937505072,23.625,24.625
