prompt,query,reference,generation_baseline,bleu_baseline,chrf_baseline,metricx_baseline,metricx_qe_baseline,commet_baseline
"Q: The media companies routinely lie about the purpose of this, claiming that it is to ""prevent piracy"".
A: मीडिया कंपनियाँ “पायरेसी को रोकने” का दावा करते हुए नियमित रूप से इस उद्देश्य के बारे में झूठ बोल रही हैं.

Q: The effect is dependent on how often your brain attempts to lucidly dream per night.
A: इसका प्रभाव इस बात पर निर्भर करता है कि आपका मस्तिष्क प्रति रात कितनी बार साफ़ सपने देखने का प्रयास करता है।

Q: The cause of death was announced as intrahepatic bile duct cancer.
A: मृत्यु का कारण इंट्राहेपेटिक पित्त नली के कैंसर के रूप में घोषित किया गया था.

Q: Permits must be reserved in advance. You must have a permit to stay overnight at Sirena.
A: परमिट पहले से आरक्षित होने चाहिए। सिरेना में रात भर रहने के लिए आपके पास अनुमति होनी चाहिए।

Q: As far as we know, there is only one planetary body that displays more dynamism than Titan, and its name is Earth,"" added Stofan.
A: स्टोफ़ेन ने कहा, जहाँ तक हम जानते हैं, एक ही ऐसा ग्रह है, जो टाइटन की तुलना में ज़्यादा गतिशीलता दिखाता है और उसका नाम है, धरती.”

Q: ""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.
A:"," ""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.", उन्होंने कहा “कि अब हमारे पास 4 महीने उम्र वाले चूहे हैं जिन्हें मधुमेह नहीं है जो मधुमेह के रोगी थे। ”,"“हम अब 4 महीने की प्रलोभनीय मOUSE हैं, जो पहले डायबेटिक थे, अब डायबेटिक नहीं हैं” उसने कहा।",4.180647946097227,19.981995437158393,12.75,11.875,0.27734375
"Q: The station maintained its attitude, despite the loss of a gyroscope earlier in the space station mission, until the end of the spacewalk.
A: स्पेसवॉक के अंत तक स्पेस स्टेशन मिशन में पहले एक जाइरोस्कोप के नुकसान के बावजूद स्टेशन ने अपना रुख़ बनाए रखा.

Q: Phnom Krom, 12 km southwest of Siem Reap. This hilltop temple was built at the end of the 9th century, during the reign of King Yasovarman.
A: फ्नोम क्रोम, सिएम रीप के दक्षिण-पश्चिम में 12 किमी पर। यह पहाड़ी मंदिर 9वीं शताब्दी के अंत में राजा यसोवर्मन के शासनकाल के दौरान बनाया गया था।

Q: It is the biggest acquisition in eBay's history.
A: यह eBay के इतिहास में सबसे बड़ा अधिग्रहण है.

Q: The Nervous System maintains homeostasis by sending nerve impulses through out the body to keep the flow of blood going as well as undisturbed.
A: तंत्रिका तंत्र शरीर के माध्यम से तंत्रिका आवेगों को भेजकर होमियोस्टेसिस को बनाए रखता है ताकि प्रवाह के साथ-साथ रक्त अबाधित भी बना रहे।

Q: The city will be the first in southeastern Europe to host CowParade, the world's largest public art event, between June and August this year.
A: इस साल जून और अगस्त के बीच दुनिया का सबसे बड़ा सार्वजनिक कला कार्यक्रम, काउपरेड का आयोजन करने वाला दक्षिण-पूर्वी यूरोप का यह पहला शहरहोगा।

Q: Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.
A:"," Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days."," डॉ. एहुड उर, नोवा स्कोटिया के हैलिफ़ैक्स में डलहौज़ी विश्वविद्यालय में चिकित्सा के प्रोफ़ेसर और कनाडाई डायबिटीज़ एसोसिएशन के नैदानिक ​​और वैज्ञानिक विभाग के अध्यक्ष ने आगाह किया कि शोध अभी भी अपने शुरुआती दिनों में है.","डॉ. ईहुड यूर, डालहौसी यूनिवर्सिटी के हाल्फ़ाक्स, नोवा स्कॉटलैंड के कैंडिडिया असोसिएशन के प्रोफेसर और क्लिनिकल और साइंटिफिक विभाग के अध्यक्ष के रूप में चेतावनी देते हुए कहा कि इस रिसर",6.711241574696493,29.499317343159863,13.0625,10.1875,0.4453125
"Q: Sir Richard Branson's Virgin Group had a bid for the bank rejected prior to the bank’s nationalisation.
A: सर रिचर्ड ब्रैनसन के वर्जिन समूह ने उन बैंको के लिए बोली लगाई थी जिन्हे राष्ट्रीयकरण से पहले अस्वीकार कर दिया गया था।

Q: ""Thanks for those who supported a convict like me,"" Siriporn was quoted as saying at a press conference.
A: “मेरे जैसे एक दोषी का समर्थन करने वालों का धन्यवाद,” सिरीपॉर्न ने एक संवाददाता सम्मेलन में ऐसा कहा।

Q: Sikhism is a religion from the Indian sub-continent. It originated in the Punjab region during the 15th century from a sectarian split within the Hindu tradition.
A: सिख धर्म भारतीय उपमहाद्वीप का एक धर्म है। यह 15वीं शताब्दी के दौरान पंजाब क्षेत्र में हिंदू परंपरा के भीतर एक सांप्रदायिक विभाजन से उत्पन्न हुआ था।

Q: Early in the nation's independence, Singapore Botanic Gardens' expertise helped to transform the island into a tropical Garden City.
A: देश की स्वतंत्रता के शुरुआत में, सिंगापुर वनस्पति उद्यान की विशेषज्ञता ने द्वीप को एक उष्णकटिबंधीय उद्यान शहर में बदलने में सहायता की।

Q: However, in Malaysia, at least among the Malays in rural areas, it means ""come over,"" similar to the index finger bent toward the body, a gesture which is used in certain Western countries, and should be used only for that purpose.
A: हालाँकि, मलेशिया में, कम से कम ग्रामीण क्षेत्रों में मलेशिया के लोगों के बीच, इसका मतलब है “मिलने आओ,” जैसे शरीर की तरफ़ इशारा करती हुई तर्जनी अंगुली के समान, एक हाव-भाव जो कुछ पश्चिमी देशों में इस्तेमाल किया जाता है और केवल उसी उद्देश्य के लिए इस्तेमाल किया जाना चाहिए.

Q: Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.
A:"," Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes."," कुछ अन्य विशेषज्ञों की तरह, उन्हें इस बात पर संदेह है कि क्या मधुमेह को ठीक किया जा सकता है, यह देखते हुए कि इन निष्कर्षों की उन लोगों के लिए कोई प्रासंगिकता नहीं है जिन्हें पहले से ही टाइप 1 मधुमेह है.","जैसे कुछ अन्य विशेषज्ञ भी यह सोचते हैं कि डायबिटीज का इलाज़ नहीं हो सकता है, क्योंकि ये पाए गए परिणाम प्रत्येक Type 1 डायबिटीज के लोगों के लिए नहीं लागू होते हैं।",5.820927655645798,26.213964534309962,6.1875,5.40625,0.66015625
"Q: Unfortunately, when you make a DVD, it's borders will most likely be cut too, and if the video had subtitles too close to the bottom, they won't be fully shown.
A: दुर्भाग्य से, जब आप एक डीवीडी बनाते हैं, तो अधिक सम्भावना है कि सीमाएँ कट जाएँगी, और यदि वीडियो में उपशीर्षक भी निचले भाग के अत्यधिक पास था, तो वे पूरी तरह से नहीं दिखाए जाएँगे।

Q: Eighteen holes are played during a regular round, with players usually starting on the first hole on the course and finishing on the eighteenth.
A: अठारह छेद एक नियमित दौर के दौरान खेले जाते हैं, खिलाड़ी आमतौर पर मैदान के पहले छेद से शुरू करते हैं और अठारहवें पर समाप्त करते हैं.

Q: Eighteen percent of Venezuelans are unemployed, and most of those who are employed work in the informal economy.
A: वेनेजुएला के अठारह प्रतिशत लोग बेरोजगार हैं, और जो लोग काम करते हैं, उनमें से अधिकांश अनौपचारिक अर्थव्यवस्था में कार्यरत हैं |

Q: Unwanted murals or scribble is known as graffiti.
A: दिवालों पर अनचाहे चित्र या अस्पष्ट लिखावट को भित्तिचित्र के रूप में जाना जाता है.

Q: Latvia and Slovakia have both delayed the process of joining ACTA.
A: लताविया और स्लोवाकिया दोनों ने ACTA में शामिल होने की प्रक्रिया में देरी की.

Q: On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.
A:"," On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him."," सोमवार को स्वीडिश अकादमी में साहित्य के लिए नोबेल समिति के स्थायी सचिव, सारा डेनियस, स्वीडन समिति में सेवरिज रेडियो पर एक रेडियो कार्यक्रम के दौरान सार्वजनिक रूप से घोषणा की, कि साहित्य में 2016 के नोबेल पुरस्कार जीतने को लेकर सीधे बॉब डायलन तक पहुँचने में असमर्थ होकर, अपने प्रयासों को छोड़ चुके थे.","मंगलवार, स्वीडिश अकादमी के लेखकों के लिए नोबेल पुरस्कार के लिए स्वीडिश अकादमी के प्रतिष्ठित सचिव सारा डानियस ने स्वीडिश रेडियो में एक रेडियो प्रोग्राम में स्वीडिश अकादमी के प्रयासों को बंद",10.684321000418477,29.43026214241658,13.875,14.875,0.27734375
"Q: Nadal bagged 88% net points in the match winning 76 points in the first serve.
A: फ़र्स्ट सर्व में नडाल को 76 मैच विनिंग पॉइंट्स में 88% नेट पॉइंट्स मिले.

Q: It now functions as the central plaza, and always has a lot of things going on, day and night.
A: अब यह केंद्रीय प्लाजा के रूप में कार्य करता है, और जहा दिन और रात बहुत सारी काम चलते हैं |

Q: Local media reports an airport fire vehicle rolled over while responding.
A: स्थानीय मीडिया ने बताया है कि कार्रवाई करने के दौरान एयरपोर्ट का अग्निशामक वाहन लुढ़क गया था.

Q: Wild animals might either be shy or aggressive. The environment might be cold, hot, or otherwise hostile.
A: जंगली जानवर शर्मीले या आक्रामक हो सकते हैं। पर्यावरण ठंडा, गर्म होना चाहिए या अन्यथा प्रतिकूल हो सकता है।

Q: Written words are often easier to understand than spoken words, also. This is especially true of addresses, which are often difficult to pronounce intelligibly.
A: लिखित शब्दों को अक्सर बोले गए शब्दों की तुलना में समझना आसान होता है। यह विशेष रूप से पतों के लिए सच है, जिन्हें अक्सर ठीक से उच्चारण करना मुश्किल होता है।

Q: Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""
A:"," Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough."""," डेनियस ने कहा, “फ़िलहाल हम कुछ नहीं कर रहे हैं. मैंने अपने साथ काम करने वाले लोगों को ईमेल भेजे हैं और उसने उनके फ्रेंडली जवाब भेजे हैं. अभी के लिए, बस इतना ही बताना चाहूँगा.”","डानियस ने कहा है कि ""अब हम कुछ नहीं कर रहे हैं। मैंने और मुझे ईमेल भेजा है और उन्हें जवाब मिला है। अब यह काफी है.""",10.902076527245208,27.236917355161495,10.0625,10.6875,0.66796875
"Q: Early in the nation's independence, Singapore Botanic Gardens' expertise helped to transform the island into a tropical Garden City.
A: देश की स्वतंत्रता के शुरुआत में, सिंगापुर वनस्पति उद्यान की विशेषज्ञता ने द्वीप को एक उष्णकटिबंधीय उद्यान शहर में बदलने में सहायता की।

Q: Scientists have suspected Enceladus as geologically active and a possible source of Saturn's icy E ring.
A: वैज्ञानिकों ने एन्सेलेडस को भूगर्भीय रूप से सक्रिय और शनि के बर्फीले ई वलय के संभावित स्रोत के रूप में संदेह प्रकट किया है.

Q: In summer, especially, you'll need to watch out for mosquitoes if you decide to hike through the rainforest.
A: विशेष रूप से गर्मियों में यदि आप वर्षावन के बीच से जाने के बारे में सोचते है,तो आपको पहले मच्छरों को देख लेने की आवश्यकता होगी ।

Q: This is just as exhausting as if you were to wake up every twenty or thirty minutes and watch TV.
A: यह उतना ही थका देने वाला है जितना कि आप हर बीस या तीस मिनट में नींद से जागते हैं और टीवी देखते हैं.

Q: The protest started around 11:00 local time (UTC+1) on Whitehall opposite the police-guarded entrance to Downing Street, the Prime Minister's official residence.
A: व्हाइटहॉल पर लगभग 11:00 बजे स्थानीय समय (यूटीसी + 1) पर विरोध शुरू हुआ, जो प्रधानमंत्री के आधिकारिक आवास डाउनिंग स्ट्रीट के पुलिस-पहरेदार के दरवाजे के सामने था।

Q: Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.
A:"," Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage."," इससे पहले, रिंग के सीईओ, जेमी सिमिनॉफ ने बताया था कि कंपनी तब शुरू हुई जब उसके दरवाज़े की घंटी उसके गेराज में स्थित दुकान से सुनाई नहीं देती थी।","पिछले साल, रिंग के CEO, जैमी सिमिनोव, ने कहा कि कंपनी शुरू हुई जब उसकी डोर बेल्लर को उसके गारेज से बाहर नहीं सुनाई जा रही थी।",12.381103403727007,34.36989600594412,8.1875,7.21875,0.4765625
"Q: With fewer REMs per night, this state in which you experience actual sleep and your body recovers becomes infrequent enough to become a problem.
A: हर रात कम आरईएम के साथ, वह अवस्था जिसमें आप वास्तविक नींद का अनुभव करते हैं और आपका शरीर एक समस्या बनने के लिए पर्याप्त रूप से असामान्य हो जाता है.

Q: Music is often recorded using sophisticated computers to process and mix sounds together.
A: ध्वनि को प्रोसेस और एक साथ मिक्स करने के लिए परिष्कृत कंप्यूटर का उपयोग करके संगीत रिकॉर्ड किया जाता है.

Q: Sophisticated animations can be constructed on computers, and this kind of animation is increasingly being used in television and films.
A: कंप्यूटर पर कृत्रिम एनिमेशन बनाए जा सकते हैं और ऐसे एनिमेशन का इस्तेमाल टेलीविजन और फ़िल्मों में किया जा रहा है.

Q: Shortly after, The Atlanta Journal-Constitution published a report showing problems with test results.
A: तुरंत बाद, टेस्ट रिज़ल्ट्स में हुई परेशानियों को बताते हुए द अटलांटा जर्नल-कॉन्स्टिट्यूशन ने एक रिपोर्ट प्रकाशित की.

Q: Cell comes from the Latin word cella which means small room.
A: सेल लैटिन शब्द सेला से आता है जिसका अर्थ है छोटा कमरा।

Q: He built a WiFi door bell, he said.
A:"," He built a WiFi door bell, he said."," उन्होंने (जेमी सिमिनॉफ़) कहा, कि उन्होंने एक वाईफ़ाई डोर बेल बनाई है.","वे एक वाई-फाई डोर बेल बनाने के लिए काम कर रहे थे, उन्होंने कहा है।",11.198351103651401,33.4871269997043,7.5,6.5625,0.66796875
"Q: The South Pole Traverse (or Highway) is a 1600 km trail from McMurdo Station on the Ross Sea to the Pole.
A: दक्षिणी ध्रुव पारगमन (या राजमार्ग) रॉस सागर पर मैक्मुर्डो स्टेशन से ध्रुव तक 1600 किमी का रास्ता है.

Q: Consider getting an eye exam at home, especially if insurance covers it, and bringing the prescription along to be filed elsewhere.
A: घर पर आंखों की जांच करने पर विचार करें, खासकर अगर बीमा इसका भुगतान करता है,और पर्चे को साथ लाने के लिए कहीं और दायर किया जाए।

Q: No major injuries were reported, but at least five people on scene at the time of the explosion were treated for symptoms of shock.
A: कोई गंभीर रूप से घायल नहीं हुआ. लेकिन धमाके के समय मौजूद कम से कम पाँच लोगों को सदमा लगा, उनका इलाज किया जा रहा था.

Q: his second goal of the night was his 60th of the season, becoming the first player to score 60 or more goals in a season since 1995-96, when Jaromir Jagr and Mario Lemieux each reached that milestone.
A: रात का उनका दूसरा गोल सीज़न का उनका 60वाँ गोल था, जिससे 1995-96 से लेकरजब जोरोमिर जागर और मारियो लेमिएक्स ने इतने गोल किए थे उसके बाद वह एक सीज़न में 60 या इससे अधिक गोल करने वाले पहले खिलाड़ी बन गए हैं.

Q: As a winner-takes-all state, Florida awarded all fifty of its delegates to Romney, pushing him ahead as the front-runner for the Republican Party nomination.
A: सभी राज्य के रूप में विजेता, फ़्लोरिडा ने अपने सभी पचास प्रतिनिधियों को रोमनी को सम्मानित किए, उसे रिपब्लिकन पार्टी के नामांकन के लिए प्रबल दावेदार के रूप में आगे बढ़ाया.

Q: Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.
A:", Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.," सिमिनॉफ़ ने कहा कि 2013 में शार्क टैंक एपिसोड में उनके दिखने के बाद बिक्री में बढ़ोतरी हुई, जहाँ शो पैनल ने स्टार्टअप को पूँजी लगाने से मना कर दिया.",सिमिनोव ने अपने 2013 में शो में शामिल होने के बाद अपने स्टार्टअप की बिक्री को बढ़ावा दिया है।,4.443860445540708,29.158681105557378,8.8125,11.25,0.5703125
"Q: Accordingly, at the finest such establishments one is apt to find the most luxurious bedding, maybe a handmade quilt or an antique bed.
A: तदनुसार, ऐसे शानदार प्रतिष्ठानों पर व्यक्ति को सबसे अधिक विलासी बिस्तर, और संभवतः हाथ का बना कंबल या ऐंटीक बेड मिलना उचित होता है।

Q: Beaches, theme parks and camp grounds are often the most common places frequented by recreational tourists.
A: बीच, थीम पार्क्स और कैम्प ग्राउंड्स ऐसी आम जगहें हैं जहां पर अक्सर मनोरंजन चाहने वाले पर्यटक पहुँचते हैं.

Q: The main reason for this phenomenon is the result of the lucid dreams expanding the length of time between REM states.
A: इस घटना का मुख्य कारण REM स्थितियों के बीच समय अवधि का विस्तार करने वाले सुहावने सपनों का परिणाम है.

Q: They called themselves the Moriori there were a few skirmishes and in the end, the Moriori were wiped out
A: उन्होंने खुद को मोरीओरी कहा, फिर कुछ झड़पें हुईं पर अंत में मोरी ओरी का सफाया हो गया

Q: The death toll is at least 15, a figure which is expected to rise.
A: मरने वालों की संख्या कम से कम 15 है, और यह संख्या बढ़ने की आशंका है।

Q: In late 2017, Siminoff appeared on shopping television channel QVC.
A:"," In late 2017, Siminoff appeared on shopping television channel QVC."," 2017 के अंत में, सिमिनॉफ़ शॉपिंग टेलीविज़न चैनल QVC में दिखाई दिए.",2017 में सिमिनोव ने शॉपिंग टीवी चैनल क्विक वी के साथ शो किया था।,6.1258522674673195,23.352210770987355,6.4375,5.15625,0.80859375
"Q: The nucleus consists of two particles - neutrons and protons.
A: न्यूक्लियस दो कणों – न्यूट्रॉन और प्रोटॉन से मिलकर बनता है.

Q: However, Charles went to university at Trinity College, Cambridge where he studied Anthropology and Archaeology, and later History, earning a 2:2 (a lower second class degree).
A: हालांकि, चार्ल्स ट्रिनिटी कॉलेज, कैम्ब्रिज में विश्वविद्यालय गए जहां उन्होंने मानव विज्ञान, पुरातत्व और बाद के इतिहास का अध्ययन किया, और उन्होंने इसमें 2:2(निम्न द्वितीय श्रेणी की डिग्री) प्राप्त की|

Q: There are a limited number permits reserved for walk-in requests available on a first come, first served basis.
A: यहाँ पहले आओ, पहले पाओ के आधार पर वॉक-इन अनुरोधों के लिए सीमित संख्या में परमिट रिज़र्व किए गए हैं.

Q: You can mark the passing of time yourself by observing the repetition of a cyclical event. A cyclical event is something that happens again and again regularly.
A: आप चक्रीय घटनाओं के दोहराव को ग़ौर से देखकर समय के बदलाव को चिन्हित कर सकते हैं. चक्रीय घटना कुछ ऐसी होती है जो नियमित रूप से बार-बार घटती रहती है.

Q: Another disadvantage of zoom lenses is that the maximum aperture (the speed) of the lens is usually lower.
A: ज़ूम लेंस का दूसरा नुकसान यह है कि लेंस का अधिकतम एपर्चर (गति) आम तौर पर कम होता है.

Q: Ring also settled a lawsuit with competing security company, the ADT Corporation.
A:"," Ring also settled a lawsuit with competing security company, the ADT Corporation.", रिंग ने अपनी प्रतिस्पर्धी कंपनी ADT कॉर्पोरेशन के साथ एक मुकदमा निपटाया है.,रिंग ने एक सूट में ADT के साथ एक लड़ाई लड़ी।,10.551084458475582,23.304605759139765,10.25,10.0,0.380859375
