prompt,query,reference,generation_baseline,bleu_baseline,chrf_baseline,metricx_qe_baseline,metricx_baseline,commet_baseline
"Q: The PBS show has more than two-dozen Emmy awards, and its run is shorter only than Sesame Street and Mister Rogers' Neighborhood.
A: このPBSの番組はエミー賞を20回以上も受賞しており、この番組よりも長寿の番組は「セサミストリート」や「ミスター・ロジャースのご近所さんになろう」しかありません。

Q: Today's Player of the Day is Alex Ovechkin of the Washington Capitals.
A: 今日のプレイヤー・オブ・ザ・デイは、ワシントン・キャピトルズのアレックス・オヴェーチキン選手です。

Q: If traveling with a laptop or tablet, store a copy in its memory or disc (accessible without the internet).
A: ノートパソコンやタブレットを携行して旅行する場合は、（インターネットなしでアクセス可能な）メモリやディスクに保存しておいてください。

Q: Within a few short years following the arrival of European explorers, the population of Tainos had significantly been reduced by the Spanish conquerors
A: タイノ族の人口はヨーロッパの探検隊が到着してから数年のうちに著しく減少しましたが、その原因はスペインの征服者たちが持ち込んだ伝染病でした。

Q: No one else has ever made more appearances or scored more goals for the club than Bobek.
A: ボベックほどこのクラブで多くの出場回数やゴールを挙げた選手は他にいません。

Q: ""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.
A:"," ""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.", 「我々が飼っている生後4か月のマウスはかつて糖尿病でしたが現在は糖尿病ではない、」と彼は付け加えました。,「糖尿病の治療法が見つかって、糖尿病の治療法が見つかって、糖尿病の治療法が見つかって、糖尿病の治療法が見つかって、糖尿病の治療法が見つかって、糖尿病の治療法が見つかって、糖尿病の治療法が見つかって、糖尿病の治療法が見つかって、糖尿病の治療法が見つかって、糖尿病の治療法が見つかって、糖尿病の治療法が見つかって、,0.57147522680965,4.747520482048974,24.25,24.375,-0.041748046875
"Q: News spread in the Red Lake community today as funerals for Jeff Weise and three of the nine victims were held that another student was arrested in connection with the school shootings of March 21.
A: 今日、レッドレイクコミュニティでは、ジェフ・ウェイズと9人の犠牲者のうち3人の葬儀が執り行われている最中に、3月21日に発生した学校での銃撃に関連してもう1人の学生が逮捕されたというニュースが広まりました。

Q: After it became apparent that many families were seeking legal help to fight the evictions, a meeting was held on March 20 at the East Bay Community Law Center for the victims of the housing scam.
A: 多くの家族が立ち退きと戦うために法的支援を求めていることが明らかになった後、3月20日、東海岸地域法律相談所で住宅詐欺の被害者のための集会が開催されました。

Q: However in 991 Ethelred was faced with a Viking fleet larger than any since Guthrum's a century earlier.
A: しかし、991年にエセルレッドは100年前のグトルム以来の大規模な海賊艦隊に直面しました。

Q: Jonny Reid, co-driver for the A1GP New Zealand team, today made history by driving the fastest over the 48-year-old Auckland Harbour Bridge, New Zealand, legally.
A: A1GPニュージーランドチームのコ・ドライバーであるジョニー・リードは本日、48年以上の歴史があるニュージーランドのオークランド・ハーバー・ブリッジを違反なく最速で駆け抜け、歴史に名を刻みました。

Q: In fact, region codes have absolutely no effect on illegal copying; a bit-for-bit copy of a disk will play just fine on any device where the original will.
A: 実際には、リージョンコードは違法コピーにはまったく効果がありません。ディスクをビットごとにコピーすれば、原本を再生できる機器であれば問題なく再生されます。

Q: Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.
A:"," Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.", ノバスコシア州ハリファックスにあるダルハウジー大学医学部教授でカナダ糖尿病協会の臨床・科学部門の責任者を務めるエフード・ウル博士は、この研究はまだ初期段階にあるとして注意を促しました。,ダルハウジー大学のハリファックス校医学部教授でカナダ糖尿病協会の臨床科学部門の会長であるエフ・ウル博士は、この研究はまだ初期段階にあると警告しました。,41.78280231174199,49.89649970626507,3.34375,3.96875,0.90234375
"Q: Couchsurfing was founded in January 2004 after computer programmer Casey Fenton found a cheap flight to Iceland but did not have a place to stay.
A: カウチサーフィンは、コンピュータプログラマーのケイシー・フェントンがアイスランド行きの格安航空券を見つけたけれども宿泊先が見つらなかった経験から2004年1月に立ち上げたコミュニティです。

Q: Any camping below the rim in Grand Canyon requires a backcountry permit.
A: グランドキャニオンのふもとにキャンプする場合は、バックカントリー許可証が必要です。

Q: Given how remote many of the pueblos are, you won't be able to find a significant amount of nightlife without traveling to Albuquerque or Santa Fe.
A: プエブロ集落の多くがどれほど離れた場所にあるかを考えれば、アルバカーキやサンタフェに向かわない限り、ナイトライフを十分に楽しむことはできないでしょう。

Q: The significant earthquake activity resulting in the phase change had took place on March 10 on the northeast side of the volcano's summit caldera.
A: 相変化につながる大きな地震活動は、3月10日に火山の山頂カルデラの北東側で発生していました。

Q: The jail became notorious after prisoner abuse was discovered there after US forces took over.
A: 米軍による占領後、囚人の虐待が発覚し、当該刑務所の悪名がとどろきました。

Q: Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.
A:"," Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.", 他の専門家たちと同様に、彼は糖尿病を完治できるかどうかについては懐疑的であり、これらの調査結果はすでにI型糖尿病を患っている人々には何の関連性もないことを指摘しています。,他の専門家と同様に、彼は糖尿病が治癒できるかどうかについて疑問に思っている。これらの発見は、既に1型糖尿病を患っている人々には全く関係がないからだ。,25.31243829628709,35.87593998489347,3.0,3.546875,1.0078125
"Q: While on his warm-up lap, Lenz fell off his bike, and was then struck by fellow racer Xavier Zayat.
A: レンツはウォームアップ中にバイクから転落し、仲間のザビエル・ザヤットに追突された。

Q: At the time of the award, Atlanta schools had seen a large improvement on test scores.
A: 受賞当時、アトランタの学校ではテストの点数が大幅に伸びていました。

Q: Many people dream of the day when humans can travel to another star and explore other worlds, some people wonder what's out there some belive that aliens or other life may live on another plant.
A: 多くの人々は、人間が別の星に旅行し、別世界を探索できる日を夢見ています。宇宙に何があるのか知りたがっている人もいれば、別の惑星に宇宙人や他の生命体が住んでいると信じている人もいます。

Q: Hesperonychus elizabethae is a species of the family Dromaeosauridae and is a cousin of Velociraptor .
A: ヘスペロニクス・エリザベサエは、ドロマエサウルス科でヴェロキラプトルの一種です。

Q: In the rainy season (November to March), the water volume will be higher and the Falls will be more dramatic.
A: 雨季（11月～3月）は水量が増え、滝はよりドラマチックになります。

Q: On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.
A:"," On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.", スウェーデンアカデミーのノーベル文学委員会の常任幹事であるサラ・ダニウス氏は月曜日、スウェーデンの公共放送ラジオの番組の中で、同委員会が2016年のノーベル文学賞受賞についてボブ・ディラン氏と直接連絡を取れなかったため、同氏と連絡を取ることを諦めたことを公に発表しました。,月曜日、スウェーデンのラジオ放送局Sveriges Radioで放送された放送番組で、ノーベル文学賞のスウェーデン学院の常任秘書であるサラ・ダニウスは、ボブ・ディランが2016年のノーベル文学賞を受賞したにもかかわらず、彼に直接連絡することができなかったため、彼に連絡する,26.5893060707898,33.47472706176348,8.5,11.0,0.2109375
"Q: When asked what the father said, she answered ""He couldn't say a thing - he just stood there blinking.""
A: 父親は何と言ったかと聞かれると、彼女は「何も言えず、まばたきをして立っているだけだった」と答えました。

Q: Tornadoes strike a small area compared to other violent storms, but they can destroy everything in their path.
A: 竜巻は、他の暴風雨に比べて狭い範囲に発生しますが、その通り道にあるものすべてを破壊する場合があります。

Q: For example, if you were to see someone breaking a car window, you would probably assume he was trying to steal a stranger’s car.
A: 例えば、車の窓を割っている人を見かけたら、他人の車を盗もうとしていると思うことでしょう。

Q: Hopefully, most people will realise that their long term best option is to work together with others.
A: うまくいけば、長期的な最善の選択肢は互いに協力し合うことだとほとんどの人が気づくでしょう。

Q: Moose (also known as elk) aren't inherently aggressive, but will defend themselves if they perceive a threat.
A: ムース（別名ヘラジカ）は、本来は攻撃的な性質ではありませんが、脅威を感知すると、自己防衛のために戦います。

Q: Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""
A:"," Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""", ダニアスは「今は何もしていない。彼の親しい協力者に電話をかけたり、メールを送ったりしたが、非常に友好的な返事が返ってきた。今のところは、確かにそれで十分だ。」と語った。,ダニウスは言った、「今、何もしていません。彼の最も近い協力者に電話をかけ、メールを送り、非常に親切な返信を受けています。今のところ、それは十分です。」,10.352918184389445,26.525286405018623,4.34375,4.03125,0.99609375
"Q: This fleet was led by Olaf Trygvasson, a Norwegian with ambitions to reclaim his country from Danish domination.
A: この艦隊を率いたのは、デンマークの支配から自国を取り戻すという野望を抱くノルウェー人のオラフ・トリグヴァッソンでした。

Q: Maintaining a healthy energy balance, practicing effective hydration habits, and understanding the various aspects of supplementation practices can help athletes improve their performance and increase their enjoyment of the sport.
A: 健康的なエネルギーバランスを維持し、効果的な水分補給習慣を実践し、サプリメントのさまざまな実用面を理解することは、選手の成績向上にもスポーツの普及にも役立ちます。

Q: Arrows from their deadly crossbows could penetrate the armor of rival soldiers. About 1000 B.C., the Assyrians introduced the first cavalry.
A: 恐ろしいクロスボウから放たれる矢は、敵兵の鎧を貫通しました。紀元前1000年頃にアッシリア人は最初の騎兵隊を導入した。

Q: The game publisher Konami stated today in a Japanese newspaper that they will not be releasing the game Six Days in Fallujah.
A: ゲームメーカーのコナミは本日、日本の新聞で、「Six Days in Fallujah」というゲームをリリースしないことを明言しました。

Q: The cell is the basic unit of all living things, and all organisms are composed of one or more cells.
A: 細胞とは、あらゆる生物の体の基本単位であり、生物はいずれも1つ以上の細胞で構成されています。

Q: Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.
A:"," Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.", RingのCEOであるジェイミー・スミノフは以前に、玄関の呼び出し音がガレージにある自分店から聞こえなかったことから事業を始めたと述べました。,以前、リングのCEOであるジャミー・シミノフは、彼のガレージの店でドアベルが聞こえないようになったことが、会社の始まりだと述べました。,11.127620454024399,23.886430343174226,5.0625,5.46875,0.92578125
"Q: Leslie Aun, a spokesperson for the Komen Foundation, said the organization adopted a new rule that does not allow grants or funding to be awarded to organizations that are under legal investigation.
A: コメン財団の広報担当者であるレスリー・アウン氏によると、同財団は、法的調査を受けている団体への助成金や資金提供を認めないという新たな規則を採用したという。

Q: Make sure your hand is as relaxed as possible while still hitting all the notes correctly - also try not to make much extraneous motion with your fingers.
A: 音符どおりに正確に奏でながら、手をできるだけリラックスした状態で保つようにしましょう。また、指が余計な動きをしないように努めましょう。

Q: The gloomy atmosphere of the temple and the view over the Tonle Sap lake make the climb to the hill worthwhile.
A: 寺院の陰鬱な雰囲気とトンレサップ湖の眺めは、丘に登るだけの価値があります。

Q: The setting might be an historic old building with antique furnishings, manicured grounds and a swimming pool.
A: アンティーク調の家具や手入れの行き届いた敷地、プールなどがある歴史的な古い建物が舞台かもしれません。

Q: Some people believe that experiencing many artificially induced lucid dreams often enough can be very exhausting.
A: 人工的に誘導された明晰夢を頻繁に経験しすぎると、非常に疲弊する可能性があると考える人もいます。

Q: He built a WiFi door bell, he said.
A:"," He built a WiFi door bell, he said.", 彼はWi-Fiで鳴るドアベルを作ったそうです。,彼はWiFiドアベルを作ったと言います。,17.05386274756895,33.80474526953074,3.25,2.46875,0.9765625
"Q: After it became apparent that many families were seeking legal help to fight the evictions, a meeting was held on March 20 at the East Bay Community Law Center for the victims of the housing scam.
A: 多くの家族が立ち退きと戦うために法的支援を求めていることが明らかになった後、3月20日、東海岸地域法律相談所で住宅詐欺の被害者のための集会が開催されました。

Q: Brazil is the largest Roman Catholic country on Earth, and the Roman Catholic Church has consistently opposed the legalization of same-sex marriage in the country.
A: ブラジルは地球上で最大のローマ・カトリックの国であり、ローマ・カトリック教会は一貫して同性婚の合法化に反対してきた。

Q: There are many things you have to take into consideration before and when you travel somewhere.
A: 旅行前にも旅行中にも、考慮しなければならないことがたくさんあります。

Q: In his notes he used words which some parents considered coarse, and he reportedly used profanity in class.
A: 彼の手記には、一部の親たちが下品と見なしそううな言葉が使われており、授業中には冒涜的な言葉を吐いていたと言われます。

Q: The band's management company, HK Management Inc., gave no initial reason when they canceled on September 20, but blamed logistical reasons by the next day.
A: このバンドの運営会社であるHKマネジメントは、9月20日公演の中止時に当初理由を明かさなかったが、翌日までには物流上の理由を非難しました。

Q: Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.
A:", Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup., シミノフ氏は、2013年にシャークタンクのエピソードに出演した後、番組委員会が資金提供を辞退した後に売上が急激に伸びたと述べています。,シミノフ氏は、2013年の「シャークターン」のエピソードでスタートアップへの資金提供を断られた後、売上が急増したと述べました。,28.531232025179197,31.415639226948812,5.59375,6.125,0.92578125
"Q: Coffee is one of the world's most traded commodities, and you can probably find many types in your home region.
A: コーヒーは世界で最も取引の多い商品の1つですから、お住まいの地域でもいろいろな種類が見られるでしょう。

Q: These events normally last anywhere between three and six months, and are held on sites no smaller than 50 hectares.
A: 通常、これらのイベントは50ヘクタール以下の敷地で3～6か月間にわたって催されます。

Q: Turkish Airlines flies to 39 destinations in 30 African countries as of 2014.
A: トルコ航空は2014年現在、アフリカ30カ国39都市に就航しています。

Q: The largest employment sectors are professional services, government, finance, trade, and tourism.
A: 最大の雇用セクターは、専門サービス、政府、金融、貿易、観光です。

Q: The failure of the second sentence, which proposes to ban same-sex civil unions, could possibly open the door for civil unions in the future.
A: 同性結婚を禁止する法案の第二文の破綻は、将来的に市民婚の扉を開く可能性があります。

Q: In late 2017, Siminoff appeared on shopping television channel QVC.
A:"," In late 2017, Siminoff appeared on shopping television channel QVC.", 2017年後半にシミノフ氏はテレビショッピング「QVC」に出演しました。,2017年末、SiminoffはショッピングテレビチャンネルQVCに出演しました。,16.704452708541158,33.11545584992241,3.5,4.1875,1.015625
"Q: The hangi is often used to cook a traditional roast style dinner.
A: ハンギを使って伝統的な蒸し焼き料理を作ることもよくあります。

Q: The game publisher Konami stated today in a Japanese newspaper that they will not be releasing the game Six Days in Fallujah.
A: ゲームメーカーのコナミは本日、日本の新聞で、「Six Days in Fallujah」というゲームをリリースしないことを明言しました。

Q: A World's Fair (commonly called World Exposition, or simply Expo) is large international festival of arts and sciences.
A: 世界博覧会（通称は万国博覧会、または単に万博）は、芸術と科学を展示する大規模な国際的祭典です。

Q: Humans have been making and using lenses for magnification for thousands and thousands of years.
A: 人類は何千年も何千年も前から、拡大用のレンズを作り、使ってきました。

Q: Each country also has unique laws requiring what emergency items need to be in the car.
A: また、国ごとに法律で車内に備えるべき緊急用品を定めています。

Q: Ring also settled a lawsuit with competing security company, the ADT Corporation.
A:"," Ring also settled a lawsuit with competing security company, the ADT Corporation.", Ringはまた、競合するセキュリティ企業であるADTとの訴訟で和解しました。,リングは、競合するセキュリティ会社であるADT コーポレーションとの訴訟を解決しました。,20.02553584771595,38.05545599922971,3.0625,3.53125,0.91796875
