prompt,query,reference,generation_baseline,bleu_baseline,chrf_baseline,metricx_qe_baseline,metricx_baseline,commet_baseline
"Q: John Grant, from WNED Buffalo (Reading Rainbow's home station) said ""Reading Rainbow taught kids why to read,... the love of reading — [the show] encouraged kids to pick up a book and to read.""
A: قال جون جرانت، من دبليو إن إي دي بافالو (محطة ريدينج رينبو): ""علمت ريدينج رينبو الأطفال لماذا يقرأون، ... حب القراءة - شجع [البرنامج] الأطفال على التقاط كتاب وقراءته.""

Q: If you have additional travel time, check to see how your total fare quote to Africa compares with a round-the-world fare.
A: إن كان لديك وقت إضافي خلال السفر، فقارن بين إجمالي سعر أجرة السفر الخاصة بك إلى أفريقيا بالنسبة لأجرة سفرك حول العالم.

Q: In 1981, Vanda Miss Joaquim, an orchid hybrid, was chosen as the nation's national flower.
A: في سمة 1981 اختير فاندا ميس جوكويم، وهو عبارة عن هجين أوركيد، كزهرة وطنية للبلاد.

Q: So many of us find ourselves watching a television show that informs us of a process or experience in which we will never participate or apply that knowledge.
A: إن العديد منا يجدون أنفسهم في مشاهدة برنامج تلفزيوني يخبرنا بعمليةٍ أو تجربةٍ لن نشارك فيها أو نطبقها على الإطلاق.

Q: ""Based on this fossil, that means the split is much earlier than has been anticipated by the molecular evidence.
A: ""يعني الاستناد إلى هذه الحفرية أن الانشقاق وقع مبكرًا للغاية عما كان متوقعًا استنادًا إلى الدليل الجزيئي.

Q: ""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.
A:"," ""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added."," أضاف قائلاً، ""لدينا الآن فئران تبلغ من العمر 4 أشهر التي كانت تعاني في السابق من مرض السكري، ولكنها لم تعد تعاني منه الآن.","""لقد أصبح لدينا ماهيرات مسنين 4 أشهر لا يعانون من السكري، ولكن كان يعانون من السكري،"" أضاف.",9.694760082571927,26.31109706721301,10.5,14.375,0.703125
"Q: If traveling with a laptop or tablet, store a copy in its memory or disc (accessible without the internet).
A: في حال كنت مسافرًا ومصطحبا جهاز كمبيوتر محمول أو جهاز لوحي رفقتك، فقم بتخزين نسخة إما في ذاكرته أو في قرصه (يمكن الوصول إليها بدون الإنترنت).

Q: Residents from other areas often cite family-friendliness as a primary reason for moving there, and visitors often find the city easy to enjoy with children around.
A: غالباً ما يستشهد المقيمون من مناطق أخرى بالودِّ الأسري كسبب أساسي للانتقال إلى هناك، وغالباً ما يجد الزوار سهولة في الاستمتاع بالمدينة مع الأطفال في المكان.

Q: At least 100 people had attended the party, in order to celebrate the first anniversary of a couple whose wedding was held last year.
A: لقد حضر ما لا يقل عن 100 شخصٍ الحفل من أجل الاحتفال بالذكرى السنوية الأولى لزوجين عقد قرانهما السنة الماضية.

Q: As mentioned above, though the word ""Eskimo"" remains acceptable in the United States, it is considered pejorative by many non-U.S. Arctic peoples, especially in Canada.
A: كما هو مذكور أعلاه، على الرغم من أن كلمة ""إسكيمو"" ما زالت مقبولة في أمريكا، فإنها تعتبر تحقيراً من قِبل العديد من سكان القطب الشمالي غير الأمريكيين وخاصةً في كندا.

Q: No one else has ever made more appearances or scored more goals for the club than Bobek.
A: لم يسبق لأي شخص آخر أن سجل حضوراً أو أحرز أهدافاً للنادي مقارنة ببوبيك.

Q: Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.
A:"," Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.", نبه الدكتور إيهود أور -أستاذ الطب في جامعة دالهوزي في هاليفاكس، نوفا سكوتيا ورئيس الشعبة الطبية والعلمية في الجمعية الكندية للسكري- إلى أن البحث لا يزال في أيامه الأولى.,د. إhud أور، أستاذ الطب في جامعة دالاسويزيه في Halifax، نوفا سكوشا، ورئيس قسم الطب والبحث العلمي في الجمعية الطبية الكندية، حذر من أن البحث في مرحلة البداية.,21.640542032478344,40.254186060163455,7.25,7.65625,0.6796875
"Q: Its large glazed windows and thin walls would not have been able to resist a determined attack for long.
A: نوافذها الكبيرة المصقولة وأسوارها الرقيقة لم تكن لتقاوم هجوماً مدججاً لفترة طويلة.

Q: While assessing the successes and becoming aware of failures, individuals and the whole of the participating persons discover more deeply the values, mission, and driving forces of the organization.
A: يكتشف الأفراد والمشاركون في عملية تقييم النجاحات والإخفاقات بشكل أعمق قيم المنظمة ورسالتها و ما يدفعها من قوى.

Q: The chimpanzee's hand and foot are similar in size and length, reflecting the hand's use for bearing weight in knuckle walking.
A: تتشابه يد الشمبانزي وقدميه في الحجم والطول، وهو ما يعكس استخدام اليد لتحمل الوزن على المفصل عند المشي.

Q: The bus was headed to Six Flags St. Louis in Missouri for the band to play to a sold-out crowd.
A: كانت الحافلة متجهة إلى سيكس فلاجز سانت لويس في ولاية ميزوري كي تعزف الفرقة أمام جمهور في عرض بيعت كل تذاكره.

Q: This gives resolution almost four times that of a 35 mm negative (3136 mm2 versus 864).
A: وهذا يعطي دقة تعادل أربعة أضعاف دقة 35 مم سالبة (3136 مم2 مقابل 864).

Q: Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.
A:"," Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.", مثل باقي الخبراء الآخرين، فهو متشكك فيما إذا كان يمكن علاج السكري، مع ملاحظة أن هذه النتائج ليس لها علاقة بالناس الذي لديهم السكري من النوع الأول سابقاً.,مثل بعض الخبراء الآخرين، فهو متشكك في قدرة السكري على الشفاء، حيث أن هذه النتائج لا تتعلق بأشخاص الذين يعانون من السكري النوع الأول.,36.96232531571398,44.16031485542716,4.6875,5.21875,0.69140625
"Q: Breakfast may include seasonal delights of the region or the host's speciality dish.
A: يمكن أن تشمل وجبة الإفطار المأكولات الموسمية في المنطقة أو طبق خاص للمضيف.

Q: The ""typical"" visit involves flying into Orlando International Airport, busing to an on-site Disney hotel, spending about a week without leaving Disney property, and returning home.
A: تتضمن الزيارة ""التقليدية"" السفر إلى مطار أورلاندو الدولي، والانتقال إلى أحد فنادق ديزني في الموقع، وقضاء حوالي أسبوع دون مغادرة ملكية ديزني والعودة إلى الوطن.

Q: The traditional medieval castle has long inspired the imagination, conjuring up images of jousts, banquets and Arthurian chivalry.
A: ألهمت القلعة التقليدية من العصور الوسطى الخيال منذ فترة طويلة، مكونةً صوراً للمبارزات، والولائم، وفروسية الملك آرثر.

Q: On September 24, 1759, Arthur Guinness signed a 9,000 year lease for the St James' Gate Brewery in Dublin, Ireland.
A: في 24 سبتمبر 1759، وقع آرثر غينيس عقد إيجار لمدة 9000 سنة لمصنع الخمور سانت جيمس جيت في دبلن، أيرلندا.

Q: Nevertheless, there are many distinctive ways of drinking coffee around the world that are worth experiencing.
A: مع ذلك، هناك عدة طرق مختلفة حول العالم لشرب القهوة والتي تستحق التجريب.

Q: On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.
A:"," On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.", في يوم الإثنين ، أعلنت سارة دانيوس -السكرتيرة الدائمة للجنة نوبل للأدب في الأكاديمية السويدية- على الملأ خلال برنامج إذاعي على راديو السويد في السويد، أن اللجنة -التي لم تتمكن من الوصول مباشرة إلى بوب ديلان بشأن الفوز بجائزة نوبل في الأدب لعام 2016- قد تخلت عن جهودها للوصول إليه.,في يوم الأحد، أعلنت سارا دانيوس، رئيسة لجنة نوبل للشعر في السويد، خلال برنامج إذاعي على راديو سويسرا في السويد، لجنة نوبل، غير قادرة على الوصول إلى بوب ديلان مباشرة حول تسلمه جائزة نوبل للشعر في عام 2016، أنهما انسحبتا من محاولات الوصول إليه.,22.231205213951192,42.54858843701285,7.53125,8.75,0.7265625
"Q: 21-year-old Jesus joined Manchester City last year in January 2017 from Brazilian club Palmeiras for a reported fee of £27 million.
A: انضم هيسوس البالغ من العمر 21 عاماً إلى مانشستر سيتي العام الماضي في يناير 2017 قادماً من نادي بالميراس البرازيلي مقابل مبلغ يبلغ 27 مليون جنيه إسترليني.

Q: Whistler (1.5 hour drive from Vancouver) is expensive but well-known because of the 2010 Winter Olympics.
A: بلدية ويسلر (الواقعة على بعد ساعة ونصف بالسيارة من فانكوفر) غالية الثمن، ولكن معروفة بسبب دورة الألعاب الأولمبية الشتوية لعام 2010.

Q: Cold weather is perhaps the only real danger the unprepared will face.
A: قد يكون المناخ البارد هو الخطر الحقيقي الوحيد الذي سوف يواجهه الأشخاص غير المستعدين له.

Q: Despite these accusations, Ma won handily on a platform advocating closer ties with the Chinese mainland.
A: على الرغم من هذه الاتهامات، فاز Ma بسهولة على منصة تدعو إلى توثيق العلاقات مع البر الرئيسي الصيني.

Q: Regarding the global financial situation, Zapatero continued by saying that ""the financial system is a part of the economy, a crucial part.
A: وبخصوص الوضع المالي العالمي، أكمل زاباتيرو قائلاً ""إن النظام المالي هو جزء من الاقتصاد، جزء جوهري.

Q: Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""
A:"," Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough."""," قال دانيوس ""لن نقوم الآن بفعل أي شيء. لقد قمت بالاتصال وإرسال رسائل بريد إلكتروني إلى أقرب المتعاونين معه وحصلت على ردود لطيفة جداً. هذا يكفي في الوقت الحالي بالطبع"".","قال دانيوس ""حتى الآن نحن لا نفعل شيئاً. أتصلت ورسلت بريد إلكتروني إلى أقرب متعاون له وحصلت على ردود سلبية صادقة للغاية. حتى الآن، هذا كافٍ جداً"".",28.299232307586134,38.318181691499916,6.875,6.6875,0.7578125
"Q: The study found that depression, fear and catastrophising mediated the relationship between pain and disability in lower back pain sufferers.
A: ووجدت الدراسة أن الاكتئاب، والخوف والكوارث يتوسطون العلاقة بين الألم والعجز لدى من يعانون من آلام أسفل الظهر.

Q: Since then, the Brazilian has featured in 53 matches for the club in all competitions and has scored 24 goals.
A: منذ ذلك الحين، شارك البرازيلي في 53 مباراة للنادي في جميع المسابقات وأحرز 24 هدفاً.

Q: The ancient city in the Judean Hills has a fascinating history spanning thousands of years.
A: المدينة القديمة في تلال يهودا لديها تاريخ مذهل على امتداد آلاف السنين.

Q: In an ambush east of Bardia, the British captured the Italian Tenth Army's Engineer-in-Chief, General Lastucci.
A: أسر البريطانيون كبير مهندسي الجيش الإيطالي العاشر، الجنرال لاستوتشي في كمينٍ غرب ميناء بردية.

Q: Former U.S. Speaker of the House Newt Gingrich came in second with 32 percent.
A: حل نيوت جينجريتش، رئيس مجلس النواب الأمريكي السابق، في المرتبة الثانية بنسبة 32%.

Q: Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.
A:"," Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.", في السابق، لاحظ جيمي سيمينوف، الرئيس التنفيذي لشركة Ring، أن الشركة بدأت عندما لم يكن جرس بابه مسموعاً من متجره في مرآب منزله.,سابقاً، قام رئيس شركة رينج، جيمى سيمينوف، بقوله أن الشركة بدأت عندما لم يكن صوت دووره في مدخله من محله في غرفة السرير.,20.218396422513226,38.740977405314254,11.5625,12.5,0.451171875
"Q: Born in the Croatian capital, Zagreb, Bobek gained fame while playing for Partizan Belgrade.
A: ولد بوبيك في العاصمة الكرواتية ""زغرب""، واشتُهِر أثناء لعبه مع بارتيزان بلغراد.

Q: Luxembourg has a long history but its independence dates from 1839.
A: لوكسمبورغ لديها تاريخ طويل ولكن استقلالها يعود إلى عام 1839.

Q: Another disadvantage of zoom lenses is that the maximum aperture (the speed) of the lens is usually lower.
A: من العيوب الأخرى لعدسات التكبير هو أن أقصى فتحة (أي السرعة) للعدسة تكون عادة أقل.

Q: Lead researchers say this may bring early detection of cancer, tuberculosis, HIV and malaria to patients in low-income countries, where the survival rates for illnesses such as breast cancer can be half those of richer countries.
A: يقول الباحثون الرئيسيون أن هذا قد يؤدي إلى الكشف المبكر للسرطان والسل وفيروس العوز المناعي البشري والملاريا في البلدان ذوات الدخل المنخفض، والتي تكون فيها معدلات النجاة من الأمراض مثل سرطان الصدر نصف معدلات البلدان الأغنى.

Q: The cell is the basic unit of all living things, and all organisms are composed of one or more cells.
A: الخلية هي الوحدة الأساسية لجميع الكائنات الحية، وجميع الكائنات الحية تتكون من خلية واحدة أو أكثر.

Q: He built a WiFi door bell, he said.
A:"," He built a WiFi door bell, he said.", قال إنه صنع جرس باب يعمل بتقنية واي فاي.,قال إنه بنى جهاز كشف المفتاح بالإنترنت.,6.285596338261262,20.256834183717586,7.25,11.0625,0.79296875
"Q: While you may not need a visa for short visits to certain countries as a tourist or for business, going there as an international student generally requires a longer stay than going there just as a casual tourist.
A: بالرغم من أن الزيارات القصيرة لدول محددة كسائح أو للعمل قد لا تتطلب تأشيرة، فإن التوجه إلى تلك الدول كطالب دولي يتطلب في العموم إقامة أطول من لو ذهبت كسائح عابر فحسب.

Q: Accordingly, at the finest such establishments one is apt to find the most luxurious bedding, maybe a handmade quilt or an antique bed.
A: وبناءً على ذلك، تجد في أرقى هذه المؤسّسات أفخر أغطية للأسرّة، وربما لحافاً مصنوعاً يدويّاً أو سريراً عتيق الطّراز.

Q: Another secondary containment area below the tanks capable of holding 104,500 barrels was not yet filled to capacity.
A: ولم يتم حتّى الآن ملء منطقة احتواء ثانويّة أخرى تحت الخزانات القادرة على استيعاب 104,500 برميلٍ.

Q: Born in the Croatian capital, Zagreb, Bobek gained fame while playing for Partizan Belgrade.
A: ولد بوبيك في العاصمة الكرواتية ""زغرب""، واشتُهِر أثناء لعبه مع بارتيزان بلغراد.

Q: Sirena is the only ranger station that offers dormitory lodging and hot meals in addition to camping. La Leona, San Pedrillo, and Los Patos offer only camping with no food service.
A: تعد سيرينا محطّة الحرس الوحيدة التي تقدّم السّكن في صالة نوم مشتركة ووجبات ساخنة بالإضافة إلى التّخييم. تقدّم محطّات لا ليونا وسان بيدريللو ولوس باتوس التّخييم فقط بدون خدمة طعام.

Q: Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.
A:", Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup., قال سيمينوف إن المبيعات ارتفعت بعد ظهوره في عام 2013 في حلقة شارك تانك، حيث رفضت لجنة العرض تمويل الشركة البادئة.,"قال سيمينوف إنّه تمكّن من زيادة الطلب بعد ظهوره في حلقة من برنامج ""شاكترانك"" عام 2013، حيث رفضت لجنة البرنامج تقديم الدعم للشركة.",29.710029312522007,46.40504526418323,3.15625,3.703125,0.90234375
"Q: Early in the nation's independence, Singapore Botanic Gardens' expertise helped to transform the island into a tropical Garden City.
A: في بداية استقلال البلاد، ساعدت خبرة حدائق سنغافورة النباتية في تحويل الجزيرة إلى مدينة من الحدائق الاستوائية.

Q: The U.S. says it has received information from an undisclosed source that specifically mentions the use of suicide bombers to will blow up ""prominent landmarks"" in Ethiopia and Kenya.
A: تقول الولايات المتّحدة إنها تلقّت معلوماتٍ من مصدرٍ لم يُكشف عنه تذكر تحديدًا استخدام انتحاريين لتفجير ""معالم بارزة"" في إثيوبيا وكينيا.

Q: Eighteen percent of Venezuelans are unemployed, and most of those who are employed work in the informal economy.
A: ثمانية عشر في المائة من الفنزويليين عاطلون عن العمل، ويعمل معظم الموظفون يعملون في الاقتصاد غير الرسمي.

Q: Increasingly supermarkets are getting a more varied section of ready-made food. Some even provide a microwave oven or other means to heat food.
A: وأصبحت محلات السوبر ماركت تمتلك على نحو متزايد أقسام أطعمة جاهزة أكثر تنوعاً. حتى أن بعضها يوفر فرن ميكروويف أو وسائل أخرى لتسخين الطعام.

Q: The capsule will be traveling at about 12.8 km or 8 miles per second, fast enough to go from San Francisco to Los Angeles in one minute.
A: ستسافر الكبسولة بسرعة 12.8 كيلومترًا أو 8 أميال في الثانية، وهي سرعة كافية للانتقال من سان فرانسيسكو إلى لوس أنجلوس في دقيقة واحدة.

Q: In late 2017, Siminoff appeared on shopping television channel QVC.
A:"," In late 2017, Siminoff appeared on shopping television channel QVC."," في أواخر عام 2017، ظهر ""سيمينوف"" على قناة التسوق التلفزيونية كيو في سي.",في أواخر عام 2017، ظهر سيمينوف على شاشة تلفزيونية للتسوق QVC.,31.823575336903108,51.37339946168862,2.890625,4.34375,0.921875
"Q: Mr Costello said that when nuclear power generation becomes economically viable, Australia should pursue its use.
A: قال كوستيلو إنه عندما يصبح توليد الطاقة النووية مجدياً من الناحية الاقتصادية، يجب على أستراليا أن السعي لاستخدامها.

Q: One of the panes finally broke, and they started to get out by the window,"" said survivor Franciszek Kowal.
A: ""إحدى الألواح انكسر وبدؤوا يخرجون من النافذة"" هكذا قال الناجي فرانسيسك كوال.

Q: General John Cadwalder would launch a diversionary attack against the British garrison at Bordentown, in order to block off any reinforcements.
A: يمكن للجنرال جون كادوالادر شن هجوم لتشتيت الانتباه ضد الحامية البريطانية في بوردينتاون لمنع أي تعزيزات.

Q: This gives resolution almost four times that of a 35 mm negative (3136 mm2 versus 864).
A: وهذا يعطي دقة تعادل أربعة أضعاف دقة 35 مم سالبة (3136 مم2 مقابل 864).

Q: Following the process, HJR-3 will be reviewed again by the next elected legislature in either 2015 or 2016 to remain in process.
A: سيتم فحص HJR-3 بعد العملية بواسطة التشريع المنتخب القادم إما في 2015 أو 2016 حتى تبقى قيد العمل.

Q: Ring also settled a lawsuit with competing security company, the ADT Corporation.
A:"," Ring also settled a lawsuit with competing security company, the ADT Corporation.", كما قامت رينج بتسوية دعوى قضائية مع شركة الأمن المنافسة، شركة ADT.,Ring حل أيضاً خلافة مع شركة أمنية معارضة، ADT Corporation.,4.7356985166781635,19.762578029881432,4.4375,6.90625,0.8828125
