prompt,query,reference,generation_ablation,bleu_ablation,chrf_ablation,ablation_lang,reference_lang,bleu_ablation_lang,chrf_ablation_lang
"Translate the following sentence from Japanese to English:
Q: 「我々が飼っている生後4か月のマウスはかつて糖尿病でしたが現在は糖尿病ではない、」と彼は付け加えました。
A:",「我々が飼っている生後4か月のマウスはかつて糖尿病でしたが現在は糖尿病ではない、」と彼は付け加えました。,"""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.","He added that the mice were diabetic at birth, but are not now.",4.015384532406818,27.874661778077908,eng_Latn," ""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.",4.015384532406818,27.874661778077908
"Translate the following sentence from Japanese to English:
Q: ノバスコシア州ハリファックスにあるダルハウジー大学医学部教授でカナダ糖尿病協会の臨床・科学部門の責任者を務めるエフード・ウル博士は、この研究はまだ初期段階にあるとして注意を促しました。
A:",ノバスコシア州ハリファックスにあるダルハウジー大学医学部教授でカナダ糖尿病協会の臨床・科学部門の責任者を務めるエフード・ウル博士は、この研究はまだ初期段階にあるとして注意を促しました。,"Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.","Dr. E. U. (Ehud) Ulmer, a professor at Dalhousie University in Halifax, Nova Scotia, is the head of the clinical and scientific department of the Canadian Diabetes Association.",43.58502974371056,58.27905298372327,eng_Latn," Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.",43.58502974371056,58.27905298372327
"Translate the following sentence from Japanese to English:
Q: 他の専門家たちと同様に、彼は糖尿病を完治できるかどうかについては懐疑的であり、これらの調査結果はすでにI型糖尿病を患っている人々には何の関連性もないことを指摘しています。
A:",他の専門家たちと同様に、彼は糖尿病を完治できるかどうかについては懐疑的であり、これらの調査結果はすでにI型糖尿病を患っている人々には何の関連性もないことを指摘しています。,"Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.","He is skeptical about whether he can cure diabetes, just like other experts.",8.63250553312284,33.78195677503379,eng_Latn," Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.",8.63250553312284,33.78195677503379
"Translate the following sentence from Japanese to English:
Q: スウェーデンアカデミーのノーベル文学委員会の常任幹事であるサラ・ダニウス氏は月曜日、スウェーデンの公共放送ラジオの番組の中で、同委員会が2016年のノーベル文学賞受賞についてボブ・ディラン氏と直接連絡を取れなかったため、同氏と連絡を取ることを諦めたことを公に発表しました。
A:",スウェーデンアカデミーのノーベル文学委員会の常任幹事であるサラ・ダニウス氏は月曜日、スウェーデンの公共放送ラジオの番組の中で、同委員会が2016年のノーベル文学賞受賞についてボブ・ディラン氏と直接連絡を取れなかったため、同氏と連絡を取ることを諦めたことを公に発表しました。,"On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.","The Swedish Academy's permanent secretary, Sara Danius, announced on Monday that the Academy had not been able to contact Bob Dylan.",6.618277680211868,28.134171261841228,eng_Latn," On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.",6.618277680211868,28.134171261841228
"Translate the following sentence from Japanese to English:
Q: ダニアスは「今は何もしていない。彼の親しい協力者に電話をかけたり、メールを送ったりしたが、非常に友好的な返事が返ってきた。今のところは、確かにそれで十分だ。」と語った。
A:",ダニアスは「今は何もしていない。彼の親しい協力者に電話をかけたり、メールを送ったりしたが、非常に友好的な返事が返ってきた。今のところは、確かにそれで十分だ。」と語った。,"Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""","""He said that he was not doing anything.""",0.5890649843156099,9.792821820513316,eng_Latn," Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""",0.5890649843156099,9.792821820513316
"Translate the following sentence from Japanese to English:
Q: RingのCEOであるジェイミー・スミノフは以前に、玄関の呼び出し音がガレージにある自分店から聞こえなかったことから事業を始めたと述べました。
A:",RingのCEOであるジェイミー・スミノフは以前に、玄関の呼び出し音がガレージにある自分店から聞こえなかったことから事業を始めたと述べました。,"Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.","Jamie Siminoff, the CEO of Ring, said that he started the company after he was unable to get a response from the company.",13.61176703234186,34.10224085549375,eng_Latn," Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.",13.61176703234186,34.10224085549375
"Translate the following sentence from Japanese to English:
Q: 彼はWi-Fiで鳴るドアベルを作ったそうです。
A:",彼はWi-Fiで鳴るドアベルを作ったそうです。,"He built a WiFi door bell, he said.",He made a door bell that rings with Wi-Fi.,7.768562846380176,31.508021587439334,eng_Latn," He built a WiFi door bell, he said.",7.768562846380176,31.508021587439334
"Translate the following sentence from Japanese to English:
Q: シミノフ氏は、2013年にシャークタンクのエピソードに出演した後、番組委員会が資金提供を辞退した後に売上が急激に伸びたと述べています。
A:",シミノフ氏は、2013年にシャークタンクのエピソードに出演した後、番組委員会が資金提供を辞退した後に売上が急激に伸びたと述べています。,Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,"Shinohara said that after the episode aired, Shark Tank sales increased dramatically.",5.981700640165486,26.05988720196703,eng_Latn, Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,5.981700640165486,26.05988720196703
"Translate the following sentence from Japanese to English:
Q: 2017年後半にシミノフ氏はテレビショッピング「QVC」に出演しました。
A:",2017年後半にシミノフ氏はテレビショッピング「QVC」に出演しました。,"In late 2017, Siminoff appeared on shopping television channel QVC.",Shinohara appeared on the Japanese version of QVC in 2017.,8.554426802455124,29.916215066970924,eng_Latn," In late 2017, Siminoff appeared on shopping television channel QVC.",8.554426802455124,29.916215066970924
"Translate the following sentence from Japanese to English:
Q: Ringはまた、競合するセキュリティ企業であるADTとの訴訟で和解しました。
A:",Ringはまた、競合するセキュリティ企業であるADTとの訴訟で和解しました。,"Ring also settled a lawsuit with competing security company, the ADT Corporation.",Ring settled a lawsuit with ADT.,27.624212391713158,35.9793313702604,eng_Latn," Ring also settled a lawsuit with competing security company, the ADT Corporation.",27.624212391713158,35.9793313702604
"Translate the following sentence from Japanese to English:
Q: 実験的なワクチンでエボラの死亡率が減るように見えますが、今までのところ、既存の感染症の治療に適しているとはっきり実証された薬剤はありません。
A:",実験的なワクチンでエボラの死亡率が減るように見えますが、今までのところ、既存の感染症の治療に適しているとはっきり実証された薬剤はありません。,"While one experimental vaccine appears able to reduce Ebola mortality, up until now, no drugs have been clearly demonstrated suitable for treating existing infection.",It seems that experimental vaccines are effective in reducing the mortality rate of Ebola.,3.032966419434332,25.256566285239035,eng_Latn," While one experimental vaccine appears able to reduce Ebola mortality, up until now, no drugs have been clearly demonstrated suitable for treating existing infection.",3.032966419434332,25.256566285239035
"Translate the following sentence from Japanese to English:
Q: 抗体カクテルの1つであるZMappは、当初はこの分野で有望視されていましたが、正式な研究では期待されたほどの死亡予防効果がないことが示されました。
A:",抗体カクテルの1つであるZMappは、当初はこの分野で有望視されていましたが、正式な研究では期待されたほどの死亡予防効果がないことが示されました。,"One antibody cocktail, ZMapp, initially showed promise in the field, but formal studies indicated it had less benefit than sought in preventing death.",ZMapp is one of the antibody cocktails that have been developed to treat Ebola.,6.084016418443107,20.988108869524652,eng_Latn," One antibody cocktail, ZMapp, initially showed promise in the field, but formal studies indicated it had less benefit than sought in preventing death.",6.084016418443107,20.988108869524652
"Translate the following sentence from Japanese to English:
Q: PALM試験では、ZMappは対照薬として使用され、科学者たちはZMappを基準として、他の3つの治療法と比較しました。
A:",PALM試験では、ZMappは対照薬として使用され、科学者たちはZMappを基準として、他の3つの治療法と比較しました。,"In the PALM trial, ZMapp served as a control, meaning scientists used it as a baseline and compared the three other treatments to it.","In the PALM study, ZMapp was used as a control, and the scientists compared the other three treatments to ZMapp.",28.633985024455054,54.1433623728803,eng_Latn," In the PALM trial, ZMapp served as a control, meaning scientists used it as a baseline and compared the three other treatments to it.",28.633985024455054,54.1433623728803
"Translate the following sentence from Japanese to English:
Q: 米国体操連盟（USA Gymnastics）は、米国オリンピック委員会の書簡を支持し、選手全員のための安全な環境づくりを促進するためにオリンピックファミリーの絶対的な必要性を受け入れます。
A:",米国体操連盟（USA Gymnastics）は、米国オリンピック委員会の書簡を支持し、選手全員のための安全な環境づくりを促進するためにオリンピックファミリーの絶対的な必要性を受け入れます。,USA Gymnastics supports the United States Olympic Committee's letter and accepts the absolute need of the Olympic family to promote a safe environment for all of our athletes.,The USA Gymnastics supports the letter from the USOC and accepts the need for a safe environment for all athletes.,35.51111005880756,50.30858684702191,eng_Latn, USA Gymnastics supports the United States Olympic Committee's letter and accepts the absolute need of the Olympic family to promote a safe environment for all of our athletes.,35.51111005880756,50.30858684702191
"Translate the following sentence from Japanese to English:
Q: 私たちは、資格を剥奪するよりも、組織内で意味のある変革を進めた方が選手やクラブ、そしてスポーツに資する可能性があるというUSOCの声明に同意しています。
A:",私たちは、資格を剥奪するよりも、組織内で意味のある変革を進めた方が選手やクラブ、そしてスポーツに資する可能性があるというUSOCの声明に同意しています。,"We agree with the USOC's statement that the interests of our athletes and clubs, and their sport, may be better served by moving forward with meaningful change within our organization, rather than decertification.",We agree with the USOC's statement that it is better to make meaningful changes within the organization than to strip the athletes of their qualifications.,23.580932969844575,45.904634062675626,eng_Latn," We agree with the USOC's statement that the interests of our athletes and clubs, and their sport, may be better served by moving forward with meaningful change within our organization, rather than decertification.",23.580932969844575,45.904634062675626
"Translate the following sentence from Japanese to English:
Q: 米国体操連盟は、ラリー・ナッサー氏の遺族が勇気を持って説明したような虐待がなぜ長期に渡って発覚しなかったかを明らかにするための第三者による調査に協力し、必要かつ適切な変化を受け入れる所存です。
A:",米国体操連盟は、ラリー・ナッサー氏の遺族が勇気を持って説明したような虐待がなぜ長期に渡って発覚しなかったかを明らかにするための第三者による調査に協力し、必要かつ適切な変化を受け入れる所存です。,USA Gymnastics supports an independent investigation that may shine light on how abuse of the proportion described so courageously by the survivors of Larry Nassar could have gone undetected for so long and embraces any necessary and appropriate changes.,The US Gymnastics Federation will cooperate with the investigation.,0.7352453962507487,12.74298435054024,eng_Latn, USA Gymnastics supports an independent investigation that may shine light on how abuse of the proportion described so courageously by the survivors of Larry Nassar could have gone undetected for so long and embraces any necessary and appropriate changes.,0.7352453962507487,12.74298435054024
