prompt,query,reference,generation_baseline,chrf_baseline,bleu_baseline,metricx_qe_baseline,metricx_baseline,baseline_lang
"Translate the following sentence from English to French:
Q: ""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.
A:","""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.","« Nous avons à présent des souris de 4 mois qui ne sont pas diabétiques alors qu'elles l'étaient auparavant », a-t-il ajouté.","""Nous avons maintenant des souris de 4 mois qui ne sont pas diabétiques, qui étaient auparavant diabétiques,"" ajouta-t-il.",63.14690639677794,41.198830490426964,2.96875,3.890625,fra_Latn
"Translate the following sentence from English to French:
Q: Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.
A:","Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.","Le Dr Ehud Ur, professeur de médecine à l'Université Dalhousie de Halifax (Nouvelle-Écosse) et président de la division clinique et scientifique de l'Association canadienne du diabète, a averti que la recherche en était encore à ses débuts.","Dr. Ehud Ur, professeur de médecine à Dalhousie University en Halifax, Nova Scotia et directeur de la division clinique et scientifique de l'Association canadienne de diabétisme, avertit que le travail est encore en cours de finition.",58.534294126387834,43.298576022278255,6.5625,7.90625,fra_Latn
"Translate the following sentence from English to French:
Q: Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.
A:","Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.","À l'instar d'autres experts, il se montre sceptique quant à la possibilité de guérir le diabète, faisant remarquer que ces résultats ne sont pas applicables aux personnes qui souffrent déjà de diabète de type 1.","Par exemple, comme d'autres experts, il est sceptique de savoir si la diabète peut être guérissé, notant que ces résultats n'ont pas de rapport avec les personnes qui ont déjà de la Type 1 diabète.",45.92254740403966,19.265311732749055,10.8125,10.9375,fra_Latn
"Translate the following sentence from English to French:
Q: On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.
A:","On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.","Lundi, lors d'une émission de radio sur Sveriges Radio, en Suède, Sara Danius, secrétaire permanente du Comité Nobel de Littérature de l'Académie Suédoise, a annoncé publiquement que le comité, incapable de joindre directement Bob Dylan au sujet du prix Nobel de littérature 2016, avait renoncé à le contacter.","Le lundi, Sara Danius, secrétaire permanente du Comité Nobel pour la littérature au Sénat suédois, a annoncé lors d'une radio programme sur Sveriges Radio en Suède, le comité, incapable de se rencontrer avec Bob Dylan pour obtenir le prix Nobel pour la littérature en 2016, a abandonné ses efforts pour le rencontrer.",55.71471857396318,36.29874687124144,8.1875,7.8125,fra_Latn
"Translate the following sentence from English to French:
Q: Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""
A:","Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""","Danius a déclaré : « En ce moment, nous ne faisons rien. J'ai appelé et envoyé des courriels à son plus proche collaborateur et j'ai reçu des réponses très amicales. Pour l'instant, c'est certainement suffisant. »","Danius a dit, ""Maintenant, nous n'avons rien à faire. Je l'ai appelé et envoyé des e-mails à son collègue le plus proche et j'ai reçu des réponses très sympathiques. Pour le moment, cela est suffisant.""",54.14911895696424,29.485944702776386,5.6875,6.3125,fra_Latn
"Translate the following sentence from English to French:
Q: Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.
A:","Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.","Auparavant, le PDG de Ring, Jamie Siminoff, a fait remarquer qu'il a lancé l'entreprise lorsque la sonnette de sa porte d'entrée n'était pas audible depuis son magasin dans son garage.","A: D'abord, le directeur de la société, Jamie Siminoff, a dit que la société a commencé lorsque son porte-mal de son garage n'était pas audible.",40.54803078969231,23.310896818973553,10.75,11.75,fra_Latn
"Translate the following sentence from English to French:
Q: He built a WiFi door bell, he said.
A:","He built a WiFi door bell, he said.",Il dit avoir conçu une sonnette de porte Wi-Fi.,"Il a construit un clavier WiFi, il a dit.",15.728544926404364,3.7644257151903666,9.8125,16.125,fra_Latn
"Translate the following sentence from English to French:
Q: Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.
A:",Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,M. Siminoff a déclaré que les ventes ont augmenté après son apparition en 2013 dans un épisode de Shark Tank où le panel de la série a refusé de financer la start-up.,Siminoff a dit que les ventes ont augmentées après sa 2013 apparition dans un épisode de Shark Tank où le panel de la chaîne a refusé de lui fournir de l'argent.,64.48723512362623,49.83694640717967,6.8125,6.53125,fra_Latn
"Translate the following sentence from English to French:
Q: In late 2017, Siminoff appeared on shopping television channel QVC.
A:","In late 2017, Siminoff appeared on shopping television channel QVC.","Fin 2017, Siminoff est apparu sur la chaîne de télé-achat QVC.","En fin d'année 2017, Siminoff a apparu sur la chaîne de télévision de QVC.",65.34545886784767,46.245194932532264,4.25,3.5625,fra_Latn
"Translate the following sentence from English to French:
Q: Ring also settled a lawsuit with competing security company, the ADT Corporation.
A:","Ring also settled a lawsuit with competing security company, the ADT Corporation.","Ring a également réglé un procès avec une entreprise de sécurité concurrente, l'ADT Corporation.","Le Ring a également résolu une affaire avec une compagnie de sécurité concurrente, la compagnie ADT Corporation.",63.05795358480532,28.571962561926448,2.953125,3.0,fra_Latn
