prompt,query,reference,generation_baseline,chrf_baseline,bleu_baseline,metricx_qe_baseline,metricx_baseline,baseline_lang,commet_baseline
"Translate the following sentence from English to Swahili:
Q: ""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.
A:","""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.","""Sasa tuna panya wenye umri wa miezi minne ambao hawana kisukari ambao awali walikuwa na kisukari"", aliongeza.","""Hii ni mwanamke wa 4 mingi mwezi ambao wao ni mwenye diabetes kwa kila mwezi, lakini wao ni mwenye diabetes kwa kila mwezi,"" alipata.",21.140596631586288,1.7934437633383677,24.75,25.0,swh_Latn,-0.022705078125
"Translate the following sentence from English to Swahili:
Q: Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.
A:","Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.","Dak. Ehud Ur, profesa wa udaktari katika chuo kikuu cha Dalhousie kule Halifix, Nova Scotia na mwenyekiti wa kitengo cha kliniki na kisayansi kwenye ushirika wa ugonjwa wa kisukari nchini Canada alionya kuwa utafiti bado uko kwenye siku za mapema.","Dr. Ehud Ur, mwanamme wa tafsiri wa tibabu katika Universiti ya Dalhousie katika Halifax, Nova Scotia na mkuu wa mafunzo na mafunzo wa Asili ya Asili ya Diabetes katika Canada, alikwenda kuwa na kazi hii ni katika muda mrefu.",32.68052636616259,14.80153416113833,16.75,19.375,swh_Latn,-0.033447265625
"Translate the following sentence from English to Swahili:
Q: Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.
A:","Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.","Kama wataalam wengine, ana shaka kuhusu kama ugonjwa wa kisukari unaweza kutibiwa, akagundua kuwa matokeo haya hayana umuhimu kwa watu ambao tayari wana ugojwa wa kisukari wa aina 1.","Kwa kwanza, kama wao wengi waliwakilisha, wao ni mwenye kujifunza kwa kujifunza kwa kujifunza kwa kujifunza kwa kujifunza kwa kujifunza kwa kujifunza kwa kujifunza kwa kujifunza kwa kujifunza kwa kujifun",16.18188371994677,1.2226675556790396,22.75,25.0,swh_Latn,-0.037353515625
"Translate the following sentence from English to Swahili:
Q: On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.
A:","On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.","Mnamo Jumatatu, Sara Danius, katibu wa kudumu wa Kamati ya Nobel ya Fasihi katika Chuo cha Uswidi, alitangaza hadharani wakati wa kipindi cha redio kwenye Sveriges Radio katika Uswidi kwamba kamati hiyo, kwa kutoweza kumfikia Bob Dylan moja kwa moja kuhusu ushindi wa Tuzo la Nobel la Fasihi 2016, iliacha juhudi zake za kujaribu kumfikia.","Monday, Sara Danius, Sekretari ya Kijisho cha Nobel cha Kijisho katika Akademi ya Swahili, alipata kwa muda mrefu radio programu katika Sveriges Radio katika Swahili, kwa sababu kijisho cha kijisho cha kijisho cha kijisho cha kijisho cha kijisho cha kijisho cha kijisho",25.453909707242445,8.346951244181971,22.625,23.25,swh_Latn,0.001312255859375
"Translate the following sentence from English to Swahili:
Q: Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""
A:","Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""","Danius alisema, ""Sasa hivi hatufanyi chochote. Nimepiga simu na kutuma barua pepe kwa mshirika wake wa karibu na kupata majibu ya kirafiki sana. Kwa sasa, hakika hiyo imetosha.""","Danius alipata, ""Hivyo sasa ni nini nimekuwa na. Nilipata na kuchagua na kuchangia matokeo ya kila kila kwa kila kila kwa kila kila kwa kila kila kwa kila kila kwa kila kila kwa kila kila kwa kila kila kwa kila kila kwa kila kila kwa kila",19.883280147769977,2.307703005567121,25.0,25.0,swh_Latn,-0.033203125
"Translate the following sentence from English to Swahili:
Q: Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.
A:","Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.","Hapo awali, Mkurugenzi Mtendaji wa Ring, Jamie Siminoff, alitamka kampuni hiyo ilianza wakati kengele yake ya mlangoni haikuwa inasikika katika duka lake kwenye karakana yake.","Mimi Siminoff, mwanamke wa Ring, alimtazama kuwa kwa sababu kama kama kama kama kama kama kama kama kama kama kama kama kama kama kama kama kama kama kama kama kama kama kama kama kama kama kama kama kama kama kama kama kama kama kama kama kama k",17.57650828136178,6.2171661867888535,25.0,25.0,swh_Latn,-0.03955078125
"Translate the following sentence from English to Swahili:
Q: He built a WiFi door bell, he said.
A:","He built a WiFi door bell, he said.","Aliunda kengele ya mlango ya Wi-Fi, alisema.","He built a WiFi doorbell, he said.",11.546070947550586,3.3449303459224256,25.0,25.0,eng_Latn,1.0078125
"Translate the following sentence from English to Swahili:
Q: Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.
A:",Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,Siminoff alisema mauzo yaliongezeka baada ya yeye kuonekana katika kipindi cha Shark Tank mnamo 2013 ambapo paneli ya onyesho hilo ilikataa kufadhili biashara hiyo mpya.,Siminoff aliyekuwa na wakati wengine wakati wote wakati wote wakati wote wakati wote wakati wote wakati wote wakati wote wakati wote wakati wote wakati wote wakati wote wakati wote wakati wote wakati wote wakati wote wakati wote wakati wote w,13.208934757403876,3.250804687495712,23.875,25.0,swh_Latn,-0.0009765625
"Translate the following sentence from English to Swahili:
Q: In late 2017, Siminoff appeared on shopping television channel QVC.
A:","In late 2017, Siminoff appeared on shopping television channel QVC.","Baadaye 2017, Siminoff alionekana katika chaneli ya ununuzi ya televisheni QVC.","In 2017, Siminoff appeared on shopping television channel QVC.",35.041621591961245,15.115059502596187,21.625,24.375,eng_Latn,0.9140625
"Translate the following sentence from English to Swahili:
Q: Ring also settled a lawsuit with competing security company, the ADT Corporation.
A:","Ring also settled a lawsuit with competing security company, the ADT Corporation.","Ring pia alitatua mashtaka ya kampuni pinzani ya usalama, Shirika la ADT.",Ringi pia alipata kazi ya kusafiri na kazi ya kusafiri na kazi ya kusafiri na kazi ya kusafiri na kazi ya kusafiri na kazi ya kusafiri na kazi ya kusafiri na kazi ya kusafiri na kazi ya kusafiri na kazi ya kusafiri na kazi ya kusafiri na kazi ya kus,14.735293491886974,0.7567143835953722,25.0,25.0,swh_Latn,-0.03125
"Translate the following sentence from English to Swahili:
Q: While one experimental vaccine appears able to reduce Ebola mortality, up until now, no drugs have been clearly demonstrated suitable for treating existing infection.
A:","While one experimental vaccine appears able to reduce Ebola mortality, up until now, no drugs have been clearly demonstrated suitable for treating existing infection.","Huku chanjo moja ya majaribio ikionekana kupunguza vifo kutokana na Ebola, hadi kufikia sasa, hakuna dawa zimeonyeshwa dhahiri kufaa kutibu maambukizo yaliyoko.","Mfano wa vijana wa mafuta wa mafuta, mafuta huu inaweza kufanya mafuta ya Ebola, lakini kwa wakati huu, kwa wakati huu, kwa wakati huu, kwa wakati huu, kwa wakati huu, kwa wakati huu, kwa wakati huu, kwa wakati huu, k",16.367295436855613,1.6992141917604604,25.0,25.0,swh_Latn,-0.007568359375
